Fecha,APP ID,Game Name,Device,Total Registered Members,Total Verified Members,Newly Registered Members,Newly Verified Members,Newly Unregistered Members,Descargas,DAU,ARPDAU,Charged UU,Oro_Gastado,ARPU,ARPPU,Complimentary Gold Spent,Ingresos_USD,Oro_Gastado_USD,Juego
2022-06-12,50784,Eros Fantasy,TOTAL,215903,89519,497,189,0,66,5203,20.88,45,108644,0.5,2414.31,0,1086.44,1086.44,Proyecto Aurora
2022-06-13,50784,Eros Fantasy,TOTAL,216288,89661,387,142,2,61,5261,17.03,32,89608,0.42,2800.25,0,896.08,896.08,Proyecto Aurora
2022-06-14,50784,Eros Fantasy,TOTAL,216669,89824,381,163,0,59,5247,12.65,20,66370,0.31,3318.5,0,663.7,663.7,Proyecto Aurora
2022-06-15,50784,Eros Fantasy,TOTAL,216988,89968,319,144,0,43,5115,9.17,24,46882,0.22,1953.42,0,468.82,468.82,Proyecto Aurora
2022-06-16,50784,Eros Fantasy,TOTAL,217317,90090,329,122,0,51,5172,10.26,21,53089,0.24,2528.05,0,530.89,530.89,Proyecto Aurora
2022-06-17,50784,Eros Fantasy,TOTAL,217719,90250,402,160,0,56,5187,8.26,41,42825,0.2,1044.51,0,428.25,428.25,Proyecto Aurora
2022-06-18,50784,Eros Fantasy,TOTAL,218033,90375,314,125,0,46,4861,6.81,18,33080,0.15,1837.78,0,330.8,330.8,Proyecto Aurora
2022-06-19,50784,Eros Fantasy,TOTAL,218320,90488,287,113,0,36,4803,10.56,13,50730,0.23,3902.31,0,507.3,507.3,Proyecto Aurora
2022-06-20,50784,Eros Fantasy,TOTAL,218647,90630,328,142,1,43,4965,4.42,15,21935,0.1,1462.33,0,219.35,219.35,Proyecto Aurora
2022-06-21,50784,Eros Fantasy,TOTAL,218928,90742,281,112,0,53,4840,3.23,14,15643,0.07,1117.36,0,156.43,156.43,Proyecto Aurora
2022-06-22,50784,Eros Fantasy,TOTAL,219197,90854,269,112,0,36,4636,3.66,16,16989,0.08,1061.81,0,169.89,169.89,Proyecto Aurora
2022-06-23,50784,Eros Fantasy,TOTAL,219418,90947,221,93,0,43,4600,2.63,8,12091,0.06,1511.38,0,120.91,120.91,Proyecto Aurora
2022-06-24,50784,Eros Fantasy,TOTAL,219915,91124,497,177,0,89,4936,59.7,85,294696,1.34,3467.01,0,2946.96,2946.96,Proyecto Aurora
2022-06-25,50784,Eros Fantasy,TOTAL,220381,91312,466,188,0,68,4868,16.46,35,80149,0.36,2289.97,0,801.49,801.49,Proyecto Aurora
2022-06-26,50784,Eros Fantasy,TOTAL,220746,91464,365,152,0,59,4804,7.64,15,36698,0.17,2446.53,0,366.98,366.98,Proyecto Aurora
2022-06-27,50784,Eros Fantasy,TOTAL,221052,91582,307,118,1,36,4865,7.78,24,37847,0.17,1576.96,0,378.47,378.47,Proyecto Aurora
2022-06-28,50784,Eros Fantasy,TOTAL,221365,91699,313,117,0,46,4867,13.17,29,64098,0.29,2210.28,0,640.98,640.98,Proyecto Aurora
2022-06-29,50784,Eros Fantasy,TOTAL,221724,91836,360,137,1,56,4854,19.79,31,96045,0.43,3098.23,0,960.45,960.45,Proyecto Aurora
2022-06-30,50784,Eros Fantasy,TOTAL,222117,92003,395,167,2,133,4890,25.19,49,123193,0.56,2514.14,0,1231.93,1231.93,Proyecto Aurora
2022-07-01,50784,Eros Fantasy,TOTAL,222834,92277,720,274,3,167,5238,53.75,62,281544,1.27,4541.03,0,2815.44,2815.44,Proyecto Aurora
2022-07-02,50784,Eros Fantasy,TOTAL,223310,92453,476,176,0,96,4891,18.71,33,91526,0.41,2773.52,0,915.26,915.26,Proyecto Aurora
2022-07-03,50784,Eros Fantasy,TOTAL,223768,92622,459,169,1,70,4922,14.07,22,69240,0.31,3147.27,0,692.4,692.4,Proyecto Aurora
2022-07-04,50784,Eros Fantasy,TOTAL,224162,92790,394,168,0,65,4901,14.05,15,68841,0.31,4589.4,0,688.41,688.41,Proyecto Aurora
2022-07-05,50784,Eros Fantasy,TOTAL,224605,92951,444,161,1,59,5031,20.27,19,101983,0.45,5367.53,0,1019.83,1019.83,Proyecto Aurora
2022-07-06,50784,Eros Fantasy,TOTAL,224965,93085,360,134,0,58,4851,7.2,19,34943,0.16,1839.11,0,349.43,349.43,Proyecto Aurora
2022-07-07,50784,Eros Fantasy,TOTAL,225279,93211,314,126,0,57,4828,5.85,14,28245,0.13,2017.5,0,282.45,282.45,Proyecto Aurora
2022-07-08,50784,Eros Fantasy,TOTAL,225959,93494,680,283,0,95,5101,54.68,45,278919,1.24,6198.2,0,2789.19,2789.19,Proyecto Aurora
2022-07-09,50784,Eros Fantasy,TOTAL,226569,93755,611,261,1,62,4974,25.76,44,128142,0.57,2912.32,0,1281.42,1281.42,Proyecto Aurora
2022-07-10,50784,Eros Fantasy,TOTAL,227195,94006,628,251,2,99,5099,30.52,34,155610,0.69,4576.76,0,1556.1,1556.1,Proyecto Aurora
2022-07-11,50784,Eros Fantasy,TOTAL,227655,94188,460,182,0,53,4944,22.89,30,113168,0.5,3772.27,0,1131.68,1131.68,Proyecto Aurora
2022-07-12,50784,Eros Fantasy,TOTAL,228120,94385,465,197,0,57,4994,17.96,17,89673,0.39,5274.88,0,896.73,896.73,Proyecto Aurora
2022-07-13,50784,Eros Fantasy,TOTAL,228701,94584,581,199,0,103,5151,28.19,27,145215,0.64,5378.33,0,1452.15,1452.15,Proyecto Aurora
2022-07-14,50784,Eros Fantasy,TOTAL,229309,94844,608,260,0,82,5225,45.65,35,238514,1.04,6814.69,0,2385.14,2385.14,Proyecto Aurora
2022-07-15,50784,Eros Fantasy,TOTAL,229757,95009,448,165,0,75,4922,6.55,17,32231,0.14,1895.94,0,322.31,322.31,Proyecto Aurora
2022-07-16,50784,Eros Fantasy,TOTAL,229979,95093,222,84,0,46,4479,5.91,17,26482,0.12,1557.76,0,264.82,264.82,Proyecto Aurora
2022-07-17,50784,Eros Fantasy,TOTAL,230225,95196,246,103,0,40,4450,1.96,8,8744,0.04,1093.0,0,87.44,87.44,Proyecto Aurora
2022-07-18,50784,Eros Fantasy,TOTAL,230514,95318,289,122,0,50,4526,5.1,15,23082,0.1,1538.8,0,230.82,230.82,Proyecto Aurora
2022-07-19,50784,Eros Fantasy,TOTAL,230798,95448,285,130,1,41,4495,6.74,14,30275,0.13,2162.5,0,302.75,302.75,Proyecto Aurora
2022-07-20,50784,Eros Fantasy,TOTAL,231078,95557,280,109,0,53,4501,3.64,11,16391,0.07,1490.09,0,163.91,163.91,Proyecto Aurora
2022-07-21,50784,Eros Fantasy,TOTAL,231371,95680,293,123,0,52,4459,2.4,7,10693,0.05,1527.57,0,106.93,106.93,Proyecto Aurora
2022-07-22,50784,Eros Fantasy,TOTAL,231814,95852,444,172,1,92,4736,29.94,50,141792,0.61,2835.84,0,1417.92,1417.92,Proyecto Aurora
2022-07-23,50784,Eros Fantasy,TOTAL,232291,96039,477,187,0,82,4666,11.34,22,52932,0.23,2406.0,0,529.32,529.32,Proyecto Aurora
2022-07-24,50784,Eros Fantasy,TOTAL,232696,96201,405,162,0,63,4712,10.32,22,48634,0.21,2210.64,0,486.34,486.34,Proyecto Aurora
2022-07-25,50784,Eros Fantasy,TOTAL,233105,96368,409,167,0,66,4736,18.45,26,87374,0.38,3360.54,0,873.74,873.74,Proyecto Aurora
2022-07-26,50784,Eros Fantasy,TOTAL,233483,96509,378,141,0,68,4799,12.57,24,60329,0.26,2513.71,0,603.29,603.29,Proyecto Aurora
2022-07-27,50784,Eros Fantasy,TOTAL,233848,96649,365,140,0,62,4721,3.89,9,18342,0.08,2038.0,0,183.42,183.42,Proyecto Aurora
2022-07-28,50784,Eros Fantasy,TOTAL,234120,96751,272,102,0,55,4640,0.0,0,0,0.0,0.0,0,0.0,0.0,Proyecto Aurora
2022-07-29,50784,Eros Fantasy,TOTAL,234375,96861,256,110,1,67,4576,73.88,59,338059,1.44,5729.81,300,3380.59,3380.59,Proyecto Aurora
2022-07-30,50784,Eros Fantasy,TOTAL,235155,97141,781,280,1,158,5009,39.52,56,197958,0.84,3534.96,0,1979.58,1979.58,Proyecto Aurora
2022-07-31,50784,Eros Fantasy,TOTAL,235849,97398,695,257,1,114,5104,34.4,53,175594,0.75,3313.09,0,1755.94,1755.94,Proyecto Aurora
2022-08-01,50784,Eros Fantasy,TOTAL,236439,97628,591,230,1,109,5202,47.78,45,248560,1.05,5523.56,0,2485.6,2485.6,Proyecto Aurora
2022-08-02,50784,Eros Fantasy,TOTAL,237014,97857,576,229,1,98,5195,36.12,36,187644,0.79,5212.33,0,1876.44,1876.44,Proyecto Aurora
2022-08-03,50784,Eros Fantasy,TOTAL,237644,98112,631,255,1,131,5256,35.32,40,185636,0.78,4640.9,0,1856.36,1856.36,Proyecto Aurora
2022-08-04,50784,Eros Fantasy,TOTAL,238172,98314,528,202,0,77,5215,23.91,44,124674,0.52,2833.5,0,1246.74,1246.74,Proyecto Aurora
2022-08-05,50784,Eros Fantasy,TOTAL,238710,98510,538,196,0,79,5167,7.51,34,38817,0.16,1141.68,0,388.17,388.17,Proyecto Aurora
2022-08-06,50784,Eros Fantasy,TOTAL,239043,98656,333,146,0,59,4819,10.99,19,52966,0.22,2787.68,0,529.66,529.66,Proyecto Aurora
2022-08-07,50784,Eros Fantasy,TOTAL,239409,98804,367,148,1,59,4827,8.9,20,42971,0.18,2148.55,0,429.71,429.71,Proyecto Aurora
2022-08-08,50784,Eros Fantasy,TOTAL,239751,98937,343,133,1,43,4823,10.24,20,49382,0.21,2469.1,0,493.82,493.82,Proyecto Aurora
2022-08-09,50784,Eros Fantasy,TOTAL,240077,99064,326,127,0,43,4725,10.79,25,50981,0.21,2039.24,0,509.81,509.81,Proyecto Aurora
2022-08-10,50784,Eros Fantasy,TOTAL,240344,99162,267,98,0,38,4600,4.5,18,20679,0.09,1148.83,0,206.79,206.79,Proyecto Aurora
2022-08-11,50784,Eros Fantasy,TOTAL,240625,99273,283,111,2,35,4499,10.05,26,45209,0.19,1738.81,0,452.09,452.09,Proyecto Aurora
2022-08-12,50784,Eros Fantasy,TOTAL,240925,99389,300,116,0,49,4496,24.94,28,112120,0.47,4004.29,0,1121.2,1121.2,Proyecto Aurora
2022-08-13,50784,Eros Fantasy,TOTAL,241289,99520,364,131,0,63,4476,9.94,17,44492,0.18,2617.18,0,444.92,444.92,Proyecto Aurora
2022-08-14,50784,Eros Fantasy,TOTAL,241554,99636,265,116,0,52,4359,9.82,11,42793,0.18,3890.27,0,427.93,427.93,Proyecto Aurora
2022-08-15,50784,Eros Fantasy,TOTAL,241893,99777,340,141,1,58,4541,5.79,16,26291,0.11,1643.19,0,262.91,262.91,Proyecto Aurora
2022-08-16,50784,Eros Fantasy,TOTAL,242187,99917,294,140,0,60,4440,11.02,13,48940,0.2,3764.62,0,489.4,489.4,Proyecto Aurora
2022-08-17,50784,Eros Fantasy,TOTAL,242471,100030,284,113,0,110,4431,3.1,11,13746,0.06,1249.64,0,137.46,137.46,Proyecto Aurora
2022-08-18,50784,Eros Fantasy,TOTAL,242698,100126,228,96,1,46,4329,10.91,16,47244,0.19,2952.75,0,472.44,472.44,Proyecto Aurora
2022-08-19,50784,Eros Fantasy,TOTAL,242975,100250,277,124,0,58,4284,8.81,11,37732,0.16,3430.18,0,377.32,377.32,Proyecto Aurora
2022-08-20,50784,Eros Fantasy,TOTAL,243211,100352,236,102,0,37,4098,4.89,12,20035,0.08,1669.58,0,200.35,200.35,Proyecto Aurora
2022-08-21,50784,Eros Fantasy,TOTAL,243450,100444,240,92,1,48,4112,5.69,17,23393,0.1,1376.06,0,233.93,233.93,Proyecto Aurora
2022-08-22,50784,Eros Fantasy,TOTAL,243679,100534,231,90,2,41,4161,3.87,11,16091,0.07,1462.82,0,160.91,160.91,Proyecto Aurora
2022-08-23,50784,Eros Fantasy,TOTAL,243916,100625,237,91,0,42,4127,11.23,24,46339,0.19,1930.79,0,463.39,463.39,Proyecto Aurora
2022-08-24,50784,Eros Fantasy,TOTAL,244270,100767,354,142,0,71,4262,5.68,12,24196,0.1,2016.33,0,241.96,241.96,Proyecto Aurora
2022-08-25,50784,Eros Fantasy,TOTAL,244640,100900,372,133,2,46,4223,7.73,11,32643,0.13,2967.55,0,326.43,326.43,Proyecto Aurora
2022-08-26,50784,Eros Fantasy,TOTAL,245078,101068,438,168,0,60,4437,47.99,33,212924,0.87,6452.24,0,2129.24,2129.24,Proyecto Aurora
2022-08-27,50784,Eros Fantasy,TOTAL,245630,101290,553,222,1,92,4379,22.93,37,100406,0.41,2713.68,0,1004.06,1004.06,Proyecto Aurora
2022-08-28,50784,Eros Fantasy,TOTAL,246189,101522,560,232,1,98,4559,28.42,26,129559,0.53,4983.04,0,1295.59,1295.59,Proyecto Aurora
2022-08-29,50784,Eros Fantasy,TOTAL,246703,101738,514,216,0,89,4588,15.7,24,72020,0.29,3000.83,0,720.2,720.2,Proyecto Aurora
2022-08-30,50784,Eros Fantasy,TOTAL,247165,101946,462,208,0,63,4525,24.23,32,109658,0.44,3426.81,0,1096.58,1096.58,Proyecto Aurora
2022-08-31,50784,Eros Fantasy,TOTAL,247556,102109,391,163,0,41,4508,22.89,40,103202,0.42,2580.05,0,1032.02,1032.02,Proyecto Aurora
2022-09-01,50784,Eros Fantasy,TOTAL,248005,102314,449,205,0,59,4489,19.99,34,89754,0.36,2639.82,0,897.54,897.54,Proyecto Aurora
2022-09-02,50784,Eros Fantasy,TOTAL,248286,102424,281,110,0,56,4373,14.63,29,63965,0.26,2205.69,0,639.65,639.65,Proyecto Aurora
2022-09-03,50784,Eros Fantasy,TOTAL,248569,102550,283,126,0,40,4236,14.82,18,62785,0.25,3488.06,0,627.85,627.85,Proyecto Aurora
2022-09-04,50784,Eros Fantasy,TOTAL,248943,102696,374,146,0,73,4288,15.34,14,65792,0.26,4699.43,0,657.92,657.92,Proyecto Aurora
2022-09-05,50784,Eros Fantasy,TOTAL,249257,102815,314,119,0,57,4274,13.82,20,59084,0.24,2954.2,0,590.84,590.84,Proyecto Aurora
2022-09-06,50784,Eros Fantasy,TOTAL,249550,102944,294,129,1,45,4315,14.29,19,61682,0.25,3246.42,0,616.82,616.82,Proyecto Aurora
2022-09-07,50784,Eros Fantasy,TOTAL,249865,103072,316,128,1,56,4290,9.26,21,39723,0.16,1891.57,0,397.23,397.23,Proyecto Aurora
2022-09-08,50784,Eros Fantasy,TOTAL,250101,103172,236,100,0,38,4110,7.11,17,29230,0.12,1719.41,0,292.3,292.3,Proyecto Aurora
2022-09-09,50784,Eros Fantasy,TOTAL,250370,103269,269,97,0,48,4174,19.85,29,82867,0.33,2857.48,0,828.67,828.67,Proyecto Aurora
2022-09-10,50784,Eros Fantasy,TOTAL,250662,103399,292,130,0,49,4139,13.72,14,56783,0.23,4055.93,0,567.83,567.83,Proyecto Aurora
2022-09-11,50784,Eros Fantasy,TOTAL,250945,103514,283,115,0,46,4130,6.66,14,27489,0.11,1963.5,0,274.89,274.89,Proyecto Aurora
2022-09-12,50784,Eros Fantasy,TOTAL,251185,103605,240,91,0,39,4061,4.41,10,17892,0.07,1789.2,0,178.92,178.92,Proyecto Aurora
2022-09-13,50784,Eros Fantasy,TOTAL,251414,103717,229,112,0,41,4032,8.32,17,33540,0.13,1972.94,0,335.4,335.4,Proyecto Aurora
2022-09-14,50784,Eros Fantasy,TOTAL,251762,103865,348,148,0,61,4173,19.24,17,80285,0.32,4722.65,0,802.85,802.85,Proyecto Aurora
2022-09-15,50784,Eros Fantasy,TOTAL,252076,103973,314,108,0,62,4124,10.91,15,44990,0.18,2999.33,0,449.9,449.9,Proyecto Aurora
2022-09-16,50784,Eros Fantasy,TOTAL,252334,104079,258,106,0,51,4114,8.4,10,34546,0.14,3454.6,0,345.46,345.46,Proyecto Aurora
2022-09-17,50784,Eros Fantasy,TOTAL,252789,104248,455,169,0,87,4302,41.07,54,176677,0.7,3271.8,0,1766.77,1766.77,Proyecto Aurora
2022-09-18,50784,Eros Fantasy,TOTAL,253551,104502,763,254,1,114,4773,14.48,28,69133,0.27,2469.04,0,691.33,691.33,Proyecto Aurora
2022-09-19,50784,Eros Fantasy,TOTAL,253951,104646,400,144,0,48,4555,12.21,21,55637,0.22,2649.38,0,556.37,556.37,Proyecto Aurora
2022-09-20,50784,Eros Fantasy,TOTAL,254393,104836,443,190,1,65,4609,9.24,22,42596,0.17,1936.18,0,425.96,425.96,Proyecto Aurora
2022-09-21,50784,Eros Fantasy,TOTAL,254794,105012,401,176,0,61,4513,13.88,27,62638,0.25,2319.93,0,626.38,626.38,Proyecto Aurora
2022-09-22,50784,Eros Fantasy,TOTAL,255157,105170,363,158,0,67,4474,9.1,24,40696,0.16,1695.67,0,406.96,406.96,Proyecto Aurora
2022-09-23,50784,Eros Fantasy,TOTAL,255593,105344,436,174,0,94,4640,108.07,106,501445,1.97,4730.61,0,5014.45,5014.45,Proyecto Aurora
2022-09-24,50784,Eros Fantasy,TOTAL,256111,105547,518,203,0,85,4556,32.24,54,146898,0.57,2720.33,0,1468.98,1468.98,Proyecto Aurora
2022-09-25,50784,Eros Fantasy,TOTAL,256640,105742,530,195,1,72,4530,16.66,43,75489,0.29,1755.56,0,754.89,754.89,Proyecto Aurora
2022-09-26,50784,Eros Fantasy,TOTAL,257009,105894,369,152,0,56,4337,15.04,24,65248,0.25,2718.67,0,652.48,652.48,Proyecto Aurora
2022-09-27,50784,Eros Fantasy,TOTAL,257348,106029,339,135,0,43,4165,11.2,19,46650,0.18,2455.26,0,466.5,466.5,Proyecto Aurora
2022-09-28,50784,Eros Fantasy,TOTAL,257671,106159,324,130,1,51,4143,6.71,17,27796,0.11,1635.06,0,277.96,277.96,Proyecto Aurora
2022-09-29,50784,Eros Fantasy,TOTAL,257958,106266,287,107,0,46,3990,24.45,16,97544,0.38,6096.5,0,975.44,975.44,Proyecto Aurora
2022-09-30,50784,Eros Fantasy,TOTAL,258231,106380,273,114,0,40,3943,54.13,44,213428,0.83,4850.64,0,2134.28,2134.28,Proyecto Aurora
2022-10-01,50784,Eros Fantasy,TOTAL,258602,106519,371,139,0,60,3935,23.41,29,92130,0.36,3176.9,0,921.3,921.3,Proyecto Aurora
2022-10-02,50784,Eros Fantasy,TOTAL,258937,106674,335,155,0,67,3944,20.61,26,81274,0.31,3125.92,0,812.74,812.74,Proyecto Aurora
2022-10-03,50784,Eros Fantasy,TOTAL,259237,106781,301,107,1,49,3941,32.65,36,128660,0.5,3573.89,0,1286.6,1286.6,Proyecto Aurora
2022-10-04,50784,Eros Fantasy,TOTAL,259614,106930,378,149,1,61,3964,22.48,32,89122,0.34,2785.06,0,891.22,891.22,Proyecto Aurora
2022-10-05,50784,Eros Fantasy,TOTAL,260077,107132,463,202,0,62,4038,10.35,20,41778,0.16,2088.9,0,417.78,417.78,Proyecto Aurora
2022-10-06,50784,Eros Fantasy,TOTAL,260424,107275,348,143,1,50,3908,16.93,25,66144,0.25,2645.76,0,661.44,661.44,Proyecto Aurora
2022-10-07,50784,Eros Fantasy,TOTAL,260671,107373,247,98,0,46,3770,7.33,14,27643,0.11,1974.5,0,276.43,276.43,Proyecto Aurora
2022-10-08,50784,Eros Fantasy,TOTAL,260895,107473,226,100,2,34,3598,13.09,13,47089,0.18,3622.23,0,470.89,470.89,Proyecto Aurora
2022-10-09,50784,Eros Fantasy,TOTAL,261174,107597,279,124,0,41,3661,2.1,8,7698,0.03,962.25,0,76.98,76.98,Proyecto Aurora
2022-10-10,50784,Eros Fantasy,TOTAL,261476,107712,302,115,0,57,3783,3.96,8,14998,0.06,1874.75,0,149.98,149.98,Proyecto Aurora
2022-10-11,50784,Eros Fantasy,TOTAL,261888,107865,412,153,0,62,3933,3.05,8,11997,0.05,1499.63,0,119.97,119.97,Proyecto Aurora
2022-10-12,50784,Eros Fantasy,TOTAL,262272,107994,384,129,0,41,3831,18.05,12,69138,0.26,5761.5,0,691.38,691.38,Proyecto Aurora
2022-10-13,50784,Eros Fantasy,TOTAL,262642,108142,371,148,1,71,3799,9.18,13,34890,0.13,2683.85,0,348.9,348.9,Proyecto Aurora
2022-10-14,50784,Eros Fantasy,TOTAL,262903,108245,261,103,0,45,3648,10.91,16,39785,0.15,2486.56,0,397.85,397.85,Proyecto Aurora
2022-10-15,50784,Eros Fantasy,TOTAL,263147,108339,244,94,0,44,3479,7.92,16,27543,0.1,1721.44,0,275.43,275.43,Proyecto Aurora
2022-10-16,50784,Eros Fantasy,TOTAL,263384,108434,238,95,1,46,3560,2.01,5,7147,0.03,1429.4,0,71.47,71.47,Proyecto Aurora
2022-10-17,50784,Eros Fantasy,TOTAL,263595,108525,211,91,0,39,3523,5.62,7,19797,0.08,2828.14,0,197.97,197.97,Proyecto Aurora
2022-10-18,50784,Eros Fantasy,TOTAL,263821,108607,226,82,0,62,3621,10.27,12,37183,0.14,3098.58,0,371.83,371.83,Proyecto Aurora
2022-10-19,50784,Eros Fantasy,TOTAL,264189,108738,368,131,0,66,3719,5.36,9,19942,0.08,2215.78,0,199.42,199.42,Proyecto Aurora
2022-10-20,50784,Eros Fantasy,TOTAL,264452,108846,265,108,2,43,3670,7.85,8,28799,0.11,3599.88,0,287.99,287.99,Proyecto Aurora
2022-10-21,50784,Eros Fantasy,TOTAL,264780,108960,328,114,0,52,3838,19.27,26,73950,0.28,2844.23,0,739.5,739.5,Proyecto Aurora
2022-10-22,50784,Eros Fantasy,TOTAL,265067,109053,289,93,2,51,3772,3.08,11,11600,0.04,1054.55,0,116.0,116.0,Proyecto Aurora
2022-10-23,50784,Eros Fantasy,TOTAL,265355,109161,288,108,0,48,3856,6.42,11,24748,0.09,2249.82,0,247.48,247.48,Proyecto Aurora
2022-10-24,50784,Eros Fantasy,TOTAL,265584,109256,229,95,0,50,3826,7.97,17,30496,0.11,1793.88,0,304.96,304.96,Proyecto Aurora
2022-10-25,50784,Eros Fantasy,TOTAL,265809,109349,225,93,0,49,3842,18.72,24,71922,0.27,2996.75,0,719.22,719.22,Proyecto Aurora
2022-10-26,50784,Eros Fantasy,TOTAL,266320,109534,511,185,0,82,4182,14.69,28,61426,0.23,2193.79,0,614.26,614.26,Proyecto Aurora
2022-10-27,50784,Eros Fantasy,TOTAL,266617,109633,297,99,0,35,4010,5.65,13,22642,0.09,1741.69,0,226.42,226.42,Proyecto Aurora
2022-10-28,50784,Eros Fantasy,TOTAL,266901,109734,284,101,0,61,3942,19.46,32,76724,0.29,2397.63,0,767.24,767.24,Proyecto Aurora
2022-10-29,50784,Eros Fantasy,TOTAL,267372,109912,471,178,0,107,4150,51.98,54,215714,0.81,3994.7,0,2157.14,2157.14,Proyecto Aurora
2022-10-30,50784,Eros Fantasy,TOTAL,267867,110115,495,203,0,80,4231,32.5,39,137496,0.51,3525.54,0,1374.96,1374.96,Proyecto Aurora
2022-10-31,50784,Eros Fantasy,TOTAL,268236,110258,369,143,0,50,4073,20.76,36,84560,0.32,2348.89,0,845.6,845.6,Proyecto Aurora
2022-11-01,50784,Eros Fantasy,TOTAL,268552,110393,316,135,0,49,4029,18.32,28,73813,0.28,2636.18,0,738.13,738.13,Proyecto Aurora
2022-11-02,50784,Eros Fantasy,TOTAL,268812,110497,260,104,0,36,3903,15.24,24,59471,0.22,2477.96,0,594.71,594.71,Proyecto Aurora
2022-11-03,50784,Eros Fantasy,TOTAL,269093,110602,281,105,0,52,3937,42.36,29,166775,0.62,5750.86,0,1667.75,1667.75,Proyecto Aurora
2022-11-04,50784,Eros Fantasy,TOTAL,269428,110728,335,126,0,58,3919,2.59,6,10142,0.04,1690.33,0,101.42,101.42,Proyecto Aurora
2022-11-05,50784,Eros Fantasy,TOTAL,269661,110810,233,82,0,44,3689,4.65,12,17142,0.06,1428.5,0,171.42,171.42,Proyecto Aurora
2022-11-06,50784,Eros Fantasy,TOTAL,269908,110907,247,97,0,44,3653,3.71,10,13543,0.05,1354.3,0,135.43,135.43,Proyecto Aurora
2022-11-07,50784,Eros Fantasy,TOTAL,270107,111001,199,94,0,40,3643,2.72,6,9892,0.04,1648.67,0,98.92,98.92,Proyecto Aurora
2022-11-08,50784,Eros Fantasy,TOTAL,270349,111089,242,88,0,51,3623,3.28,11,11897,0.04,1081.55,0,118.97,118.97,Proyecto Aurora
2022-11-09,50784,Eros Fantasy,TOTAL,270640,111205,291,116,0,63,3686,4.16,10,15344,0.06,1534.4,0,153.44,153.44,Proyecto Aurora
2022-11-10,50784,Eros Fantasy,TOTAL,270885,111300,245,95,0,40,3538,10.79,11,38185,0.14,3471.36,0,381.85,381.85,Proyecto Aurora
2022-11-11,50784,Eros Fantasy,TOTAL,271094,111382,209,82,0,43,3511,6.36,17,22335,0.08,1313.82,0,223.35,223.35,Proyecto Aurora
2022-11-12,50784,Eros Fantasy,TOTAL,271364,111479,270,97,0,51,3490,9.74,9,33981,0.13,3775.67,0,339.81,339.81,Proyecto Aurora
2022-11-13,50784,Eros Fantasy,TOTAL,271667,111594,303,115,0,64,3590,3.73,10,13393,0.05,1339.3,0,133.93,133.93,Proyecto Aurora
2022-11-14,50784,Eros Fantasy,TOTAL,271904,111684,237,90,0,39,3423,19.11,9,65420,0.24,7268.89,0,654.2,654.2,Proyecto Aurora
2022-11-15,50784,Eros Fantasy,TOTAL,272257,111823,353,139,0,94,3607,2.29,9,8245,0.03,916.11,0,82.45,82.45,Proyecto Aurora
2022-11-16,50784,Eros Fantasy,TOTAL,272533,111917,276,94,0,70,3519,9.39,18,33034,0.12,1835.22,0,330.34,330.34,Proyecto Aurora
2022-11-17,50784,Eros Fantasy,TOTAL,272759,111989,226,72,0,80,3414,5.9,8,20140,0.07,2517.5,0,201.4,201.4,Proyecto Aurora
