DateReported,DailyActiveUsers,PeakConcurrentUsers
2022-10-11,1290,74
2022-10-12,1299,72
2022-10-13,1288,66
2022-10-14,1245,79
2022-10-15,1234,68
2022-10-16,1245,85
2022-10-17,1209,76
2022-10-18,1273,84
2022-10-19,1289,75
2022-10-20,1275,72
2022-10-21,1304,88
2022-10-22,1297,90
2022-10-23,1321,103
2022-10-24,1372,106
2022-10-25,1361,103
2022-10-26,1377,120
2022-10-27,1379,94
2022-10-28,1395,96
2022-10-29,1391,96
2022-10-30,1399,103
2022-10-31,1365,87
2022-11-01,1380,85
2022-11-02,1350,91
2022-11-03,1397,92
2022-11-04,1367,86
2022-11-05,1319,86
2022-11-06,1336,86
2022-11-07,1321,66
2022-11-08,1310,66
2022-11-09,1299,72
2022-11-10,1297,68
2022-11-11,1302,68
2022-11-12,1208,65
2022-11-13,1269,90
2022-11-14,1294,72
2022-11-15,1284,68
2022-11-16,1267,64
2022-11-17,1260,64
2022-11-18,1269,70
2022-11-19,1227,63
2022-11-20,1217,78
2022-11-21,1199,71
2022-11-22,1220,69
2022-11-23,1395,86
2022-11-24,1443,103
2022-11-25,1518,107
2022-11-26,1474,112
2022-11-27,1521,118
2022-11-28,1549,114
2022-11-29,1525,114
2022-11-30,1486,112
2022-12-01,1534,118
2022-12-02,1578,126
2022-12-03,1580,131
2022-12-04,1596,128
2022-12-05,1534,108
2022-12-06,1439,73
2022-12-07,1418,80
2022-12-08,1428,65
2022-12-09,1430,92
2022-12-10,1474,102
2022-12-11,1420,106
2022-12-12,1429,92
2022-12-13,1374,86
2022-12-14,1370,76
2022-12-15,1377,80
2022-12-16,1377,89
2022-12-17,1395,86
2022-12-18,1392,113
2022-12-19,1431,89
2022-12-20,1398,99
2022-12-21,1441,89
2022-12-22,1417,84
2022-12-23,1469,83
2022-12-24,1404,85
2022-12-25,1344,91
2022-12-26,1423,83
2022-12-27,1490,104
2022-12-28,1538,89
2022-12-29,1504,80
2022-12-30,1451,72
2022-12-31,1424,78
2023-01-01,1452,74
2023-01-02,1482,80
2023-01-03,1483,97
2023-01-04,1422,78
2023-01-05,1422,84
2023-01-06,1449,78
2023-01-07,1377,73
2023-01-08,1391,83
2023-01-09,1430,83
2023-01-10,1390,78
2023-01-11,1387,68
2023-01-12,1439,77
2023-01-13,1523,94
2023-01-14,1499,95
2023-01-15,1490,107
2023-01-16,1542,86
2023-01-17,1490,88
2023-01-18,1507,80
2023-01-19,1490,72
2023-01-20,1507,90
2023-01-21,1491,92
2023-01-22,1544,104
2023-01-23,1520,96
2023-01-24,1530,96
2023-01-25,1504,90
2023-01-26,1538,95
2023-01-27,1503,74
2023-01-28,1546,74
2023-01-29,1512,83
2023-01-30,1485,72
2023-01-31,1472,79
2023-02-01,1476,73
2023-02-02,1460,67
2023-02-03,1470,72
2023-02-04,1458,75
2023-02-05,1497,83
2023-02-06,1445,71
2023-02-07,1422,74
2023-02-08,1426,87
2023-02-09,1424,83
2023-02-10,1490,91
2023-02-11,1543,118
2023-02-12,1502,124
2023-02-13,1535,112
2023-02-14,1528,106
2023-02-15,1519,109
2023-02-16,1540,113
2023-02-17,1521,99
2023-02-18,1505,96
2023-02-19,1515,99
2023-02-20,1499,99
2023-02-21,1499,88
2023-02-22,1549,91
2023-02-23,1477,78
2023-02-24,1512,80
2023-02-25,1456,74
2023-02-26,1494,74
2023-02-27,1414,80
2023-02-28,1432,67
2023-03-01,1450,66
2023-03-02,1438,65
2023-03-03,1437,76
2023-03-04,1393,81
2023-03-05,1426,84
2023-03-06,1419,69
2023-03-07,1389,76
2023-03-08,1388,69
2023-03-09,1433,60
2023-03-10,1397,67
2023-03-11,1400,69
2023-03-12,1396,73
2023-03-13,1381,69
2023-03-14,1354,69
2023-03-15,1375,80
2023-03-16,1366,58
2023-03-17,1420,94
2023-03-18,1381,63
2023-03-19,1395,86
2023-03-20,1388,72
2023-03-21,1410,74
2023-03-22,1371,70
2023-03-23,1376,71
2023-03-24,1367,70
2023-03-25,1316,80
2023-03-26,1341,79
2023-03-27,1345,67
2023-03-28,1323,64
2023-03-29,1357,66
2023-03-30,1356,77
2023-03-31,1426,81
2023-04-01,1415,64
2023-04-02,1396,81
2023-04-03,1409,63
2023-04-04,1401,72
2023-04-05,1395,73
2023-04-06,1469,79
2023-04-07,1456,110
2023-04-08,1431,97
2023-04-09,1448,120
2023-04-10,1460,94
2023-04-11,1464,101
2023-04-12,1522,96
2023-04-13,1462,96
2023-04-14,1492,96
2023-04-15,1451,92
2023-04-16,1441,100
2023-04-17,1461,94
2023-04-18,1471,83
2023-04-19,1456,81
2023-04-20,1478,84
2023-04-21,1497,109
2023-04-22,1482,95
2023-04-23,1475,99
2023-04-24,1463,77
2023-04-25,1461,102
2023-04-26,1407,81
2023-04-27,1434,67
2023-04-28,1572,89
2023-04-29,1658,127
2023-04-30,1666,136
2023-05-01,1709,128
2023-05-02,1595,139
2023-05-03,1605,144
2023-05-04,1606,130
2023-05-05,1632,115
2023-05-06,1616,124
2023-05-07,1625,149
2023-05-08,1602,144
2023-05-09,1570,155
2023-05-10,1592,126
2023-05-11,1517,118
2023-05-12,1446,99
2023-05-13,1422,89
2023-05-14,1435,82
2023-05-15,1419,80
2023-05-16,1407,92
2023-05-17,1398,73
2023-05-18,1421,83
2023-05-19,1427,100
2023-05-20,1421,79
2023-05-21,1411,107
2023-05-22,1397,80
2023-05-23,1374,70
2023-05-24,1404,77
2023-05-25,1364,90
2023-05-26,1433,113
2023-05-27,1418,139
2023-05-28,1449,159
2023-05-29,1505,144
2023-05-30,1477,125
2023-05-31,1548,127
2023-06-01,1538,122
2023-06-02,1475,122
2023-06-03,1472,113
2023-06-04,1514,128
2023-06-05,1487,108
2023-06-06,1454,115
2023-06-07,1469,102
2023-06-08,1500,104
2023-06-09,1496,133
2023-06-10,1491,115
2023-06-11,1514,119
2023-06-12,1484,118
2023-06-13,1514,129
2023-06-14,1553,110
2023-06-15,1554,117
2023-06-16,1534,89
2023-06-17,1461,93
2023-06-18,1482,93
2023-06-19,1470,102
2023-06-20,1519,96
2023-06-21,1502,90
2023-06-22,1479,96
2023-06-23,1489,82
2023-06-24,1443,99
2023-06-25,1477,92
2023-06-26,1517,94
2023-06-27,1546,112
2023-06-28,1569,142
2023-06-29,1556,139
2023-06-30,1542,139
2023-07-01,1532,124
2023-07-02,1519,129
2023-07-03,1531,119
2023-07-04,1549,127
2023-07-05,1587,128
2023-07-06,1553,119
2023-07-07,1524,123
2023-07-08,1491,125
2023-07-09,1497,143
2023-07-10,1469,119
2023-07-11,1396,87
2023-07-12,1384,95
2023-07-13,1404,100
2023-07-14,1482,127
2023-07-15,1425,106
2023-07-16,1425,122
2023-07-17,1485,105
2023-07-18,1453,97
2023-07-19,1423,109
2023-07-20,1473,95
2023-07-21,1446,90
2023-07-22,1379,89
2023-07-23,1397,113
2023-07-24,1432,98
2023-07-25,1458,92
2023-07-26,1428,96
2023-07-27,1441,88
2023-07-28,1525,104
2023-07-29,1644,142
2023-07-30,1623,151
2023-07-31,1656,151
2023-08-01,1650,132
2023-08-02,1591,124
2023-08-03,1551,130
2023-08-04,1586,133
2023-08-05,1523,99
2023-08-06,1485,107
2023-08-07,1482,115
2023-08-08,1476,107
2023-08-09,1484,106
2023-08-10,1508,108
2023-08-11,1453,97
2023-08-12,1379,97
2023-08-13,1362,88
2023-08-14,1407,82
2023-08-15,1372,85
2023-08-16,1366,81
2023-08-17,1393,80
2023-08-18,1482,118
2023-08-19,1463,86
2023-08-20,1488,92
2023-08-21,1523,90
2023-08-22,1439,71
2023-08-23,1436,85
2023-08-24,1451,79
2023-08-25,1426,89
2023-08-26,1391,93
2023-08-27,1446,95
2023-08-28,1417,89
2023-08-29,1472,94
2023-08-30,1503,111
2023-08-31,1489,126
2023-09-01,1518,123
2023-09-02,1440,117
2023-09-03,1445,131
2023-09-04,1484,130
2023-09-05,1501,119
2023-09-06,1461,122
2023-09-07,1436,119
2023-09-08,1466,137
2023-09-09,1472,130
2023-09-10,1488,118
2023-09-11,1465,113
2023-09-12,1452,107
2023-09-13,1417,77
2023-09-14,1405,83
2023-09-15,1453,119
2023-09-16,1529,148
2023-09-17,1508,155
2023-09-18,1498,137
2023-09-19,1421,130
2023-09-20,1471,131
2023-09-21,1426,111
2023-09-22,1445,115
2023-09-23,1403,112
2023-09-24,1457,116
2023-09-25,1431,109
2023-09-26,1441,110
2023-09-27,1447,109
2023-09-28,1398,116
2023-09-29,1415,107
2023-09-30,1339,93
2023-10-01,1387,110
2023-10-02,1403,101
2023-10-03,1395,95
2023-10-04,1442,91
2023-10-05,1447,95
2023-10-06,1435,96
2023-10-07,1407,99
2023-10-08,1432,102
2023-10-09,1454,87
2023-10-10,1398,91
2023-10-11,1397,109
2023-10-12,1381,87
2023-10-13,1371,90
2023-10-14,1357,86
2023-10-15,1397,97
2023-10-16,1373,104
2023-10-17,1392,89
2023-10-18,1371,90
2023-10-19,1379,82
2023-10-20,1445,97
2023-10-21,1445,126
2023-10-22,1501,124
2023-10-23,1463,132
2023-10-24,1480,106
2023-10-25,1493,129
2023-10-26,1511,109
2023-10-27,1550,125
2023-10-28,1481,123
2023-10-29,1515,134
2023-10-30,1509,106
2023-10-31,1522,118
2023-11-01,1503,106
2023-11-02,1537,115
2023-11-03,1456,108
2023-11-04,1441,118
2023-11-05,1407,113
2023-11-06,1494,101
2023-11-07,1475,100
2023-11-08,1487,87
2023-11-09,1536,95
2023-11-10,1603,148
2023-11-11,1600,156
2023-11-12,1582,162
2023-11-13,1524,142
2023-11-14,1535,140
2023-11-15,1515,158
2023-11-16,1542,120
2023-11-17,1500,125
2023-11-18,1508,117
2023-11-19,1465,111
2023-11-20,1510,115
2023-11-21,1631,143
2023-11-22,1673,166
2023-11-23,1671,178
2023-11-24,1708,164
2023-11-25,1689,162
2023-11-26,1674,166
2023-11-27,1707,183
2023-11-28,1678,157
2023-11-29,1675,174
2023-11-30,1700,165
2023-12-01,1733,178
2023-12-02,1728,182
2023-12-03,1718,169
2023-12-04,1631,121
2023-12-05,1578,110
2023-12-06,1636,105
2023-12-07,1614,117
2023-12-08,1573,115
2023-12-09,1617,117
2023-12-10,1601,116
2023-12-11,1589,119
2023-12-12,1589,115
2023-12-13,1624,133
2023-12-14,1655,118
2023-12-15,1631,116
2023-12-16,1610,114
2023-12-17,1638,121
2023-12-18,1621,113
2023-12-19,1615,117
2023-12-20,1622,116
2023-12-21,1649,103
2023-12-22,1599,113
2023-12-23,1582,111
2023-12-24,1485,116
2023-12-25,1443,92
2023-12-26,1543,103
2023-12-27,1534,125
2023-12-28,1579,130
2023-12-29,1538,135
2023-12-30,1529,151
2023-12-31,1546,155
2024-01-01,1555,132
2024-01-02,1579,131
2024-01-03,1608,146
2024-01-04,1617,139
2024-01-05,1708,180
2024-01-06,1709,200
2024-01-07,1715,187
2024-01-08,1598,173
2024-01-09,1587,141
2024-01-10,1572,145
2024-01-11,1565,138
2024-01-12,1577,162
2024-01-13,1561,148
2024-01-14,1552,143
2024-01-15,1533,119
2024-01-16,1554,133
2024-01-17,1543,123
2024-01-18,1509,112
2024-01-19,1542,110
2024-01-20,1509,130
2024-01-21,1523,124
2024-01-22,1489,106
2024-01-23,1464,98
2024-01-24,1470,91
2024-01-25,1438,103
2024-01-26,1449,99
2024-01-27,1489,126
2024-01-28,1496,125
2024-01-29,1571,102
2024-01-30,1572,95
2024-01-31,1555,107
2024-02-01,1548,92
2024-02-02,1525,98
2024-02-03,1527,108
2024-02-04,1532,112
2024-02-05,1523,114
2024-02-06,1554,101
2024-02-07,1515,97
2024-02-08,1568,100
2024-02-09,1698,143
2024-02-10,1755,100
2024-02-11,1772,132
2024-02-12,1750,128
2024-02-13,1749,109
2024-02-14,1762,138
2024-02-15,1747,119
2024-02-16,1742,123
2024-02-17,1668,116
2024-02-18,1696,116
2024-02-19,1703,112
2024-02-20,1653,117
2024-02-21,1656,125
2024-02-22,1656,113
2024-02-23,1731,131
2024-02-24,1746,134
2024-02-25,1787,140
2024-02-26,1809,147
2024-02-27,1858,173
2024-02-28,1899,197
2024-02-29,1846,180
2024-03-01,1843,167
2024-03-02,1785,173
2024-03-03,1799,187
2024-03-04,1850,174
2024-03-05,1791,161
2024-03-06,1800,169
2024-03-07,1826,145
2024-03-08,1835,155
2024-03-09,1840,158
2024-03-10,1809,161
2024-03-11,1798,165
2024-03-12,1873,196
2024-03-13,1855,181
2024-03-14,1836,173
2024-03-15,1811,165
2024-03-16,1760,155
2024-03-17,1775,158
2024-03-18,1799,155
2024-03-19,1764,154
2024-03-20,1754,153
2024-03-21,1757,145
2024-03-22,1798,152
2024-03-23,1806,191
2024-03-24,1802,172
2024-03-25,1811,162
2024-03-26,1777,128
2024-03-27,1779,129
2024-03-28,1723,134
2024-03-29,1693,121
2024-03-30,1742,145
2024-03-31,1811,173
2024-04-01,1832,173
2024-04-02,1838,162
2024-04-03,1806,156
2024-04-04,1807,167
2024-04-05,1789,157
2024-04-06,1756,168
2024-04-07,1750,163
2024-04-08,1790,173
2024-04-09,1809,155
2024-04-10,1774,160
2024-04-11,1752,152
2024-04-12,1779,157
2024-04-13,1703,122
2024-04-14,1676,137
2024-04-15,1761,176
2024-04-16,1738,173
2024-04-17,1697,168
2024-04-18,1705,178
2024-04-19,1634,165
2024-04-20,1647,143
2024-04-21,1643,148
2024-04-22,1633,139
2024-04-23,1638,125
2024-04-24,1619,133
2024-04-25,1638,126
2024-04-26,1696,140
2024-04-27,1687,138
2024-04-28,1664,163
2024-04-29,1648,133
2024-04-30,1641,126
2024-05-01,1651,114
2024-05-02,1612,117
2024-05-03,1710,171
2024-05-04,1768,195
2024-05-05,1765,177
2024-05-06,1692,178
2024-05-07,1728,179
2024-05-08,1741,165
2024-05-09,1706,165
2024-05-10,1714,169
2024-05-11,1669,167
2024-05-12,1670,177
2024-05-13,1688,161
2024-05-14,1665,153
2024-05-15,1654,148
2024-05-16,1639,140
2024-05-17,1692,171
2024-05-18,1719,185
2024-05-19,1703,187
2024-05-20,1674,186
2024-05-21,1663,144
2024-05-22,1653,158
2024-05-23,1599,133
2024-05-24,1567,134
2024-05-25,1514,114
2024-05-26,1539,120
2024-05-27,1512,124
2024-05-28,1540,119
2024-05-29,1521,117
2024-05-30,1469,111
2024-05-31,1510,111
2024-06-01,1559,141
2024-06-02,1672,175
2024-06-03,1694,169
2024-06-04,1675,166
2024-06-05,1671,163
2024-06-06,1671,159
2024-06-07,1770,191
2024-06-08,1772,168
2024-06-09,1808,185
2024-06-10,1779,177
2024-06-11,1780,176
2024-06-12,1806,169
2024-06-13,1809,166
2024-06-14,1745,132
2024-06-15,1649,128
2024-06-16,1635,124
2024-06-17,1758,157
2024-06-18,1739,174
2024-06-19,1709,166
2024-06-20,1687,164
2024-06-21,1605,167
2024-06-22,1623,160
2024-06-23,1647,146
2024-06-24,1619,145
2024-06-25,1577,122
2024-06-26,1598,128
2024-06-27,1568,115
2024-06-28,1517,118
2024-06-29,1510,115
2024-06-30,1485,123
2024-07-01,1588,109
2024-07-02,1526,110
2024-07-03,1493,101
2024-07-04,1453,100
2024-07-05,1477,125
2024-07-06,1524,134
2024-07-07,1552,160
2024-07-08,1535,148
2024-07-09,1538,134
2024-07-10,1524,140
2024-07-11,1535,140
2024-07-12,1533,140
2024-07-13,1505,140
2024-07-14,1487,152
2024-07-15,1532,154
2024-07-16,1538,149
2024-07-17,1531,146
2024-07-18,1466,98
2024-07-19,1528,158
2024-07-20,1522,178
2024-07-21,1521,183
2024-07-22,1545,162
2024-07-23,1523,156
2024-07-24,1507,150
2024-07-25,1460,129
2024-07-26,1568,137
2024-07-27,1520,130
2024-07-28,1548,137
2024-07-29,1516,138
2024-07-30,1540,122
2024-07-31,1518,129
2024-08-01,1490,112
2024-08-02,1512,144
2024-08-03,1511,161
2024-08-04,1543,153
2024-08-05,1516,153
2024-08-06,1534,161
2024-08-07,1581,169
2024-08-08,1581,148
2024-08-09,1593,149
2024-08-10,1546,144
2024-08-11,1551,133
2024-08-12,1546,135
2024-08-13,1574,133
2024-08-14,1586,142
2024-08-15,1557,123
2024-08-16,1623,152
2024-08-17,1572,171
2024-08-18,1593,177
2024-08-19,1636,159
2024-08-20,1624,164
2024-08-21,1569,152
2024-08-22,1577,155
2024-08-23,1542,140
2024-08-24,1444,146
2024-08-25,1527,141
2024-08-26,1475,131
2024-08-27,1459,119
2024-08-28,1466,123
2024-08-29,1464,111
2024-08-30,1438,142
2024-08-31,1468,155
2024-09-01,1475,153
2024-09-02,1463,161
2024-09-03,1518,142
2024-09-04,1487,152
2024-09-05,1475,135
2024-09-06,1492,141
2024-09-07,1422,144
2024-09-08,1469,161
2024-09-09,1442,145
2024-09-10,1439,145
2024-09-11,1455,132
2024-09-12,1473,124
2024-09-13,1481,156
2024-09-14,1440,165
2024-09-15,1469,168
2024-09-16,1421,150
2024-09-17,1494,150
2024-09-18,1485,143
2024-09-19,1464,132
2024-09-20,1440,135
2024-09-21,1408,119
2024-09-22,1408,129
2024-09-23,1416,120
2024-09-24,1420,124
2024-09-25,1379,128
2024-09-26,1396,116
2024-09-27,1373,115
2024-09-28,1340,105
2024-09-29,1363,115
2024-09-30,1508,139
2024-10-01,1530,160
2024-10-02,1533,172
2024-10-03,1568,179
2024-10-04,1556,183
2024-10-05,1525,180
2024-10-06,1530,188
2024-10-07,1528,179
2024-10-08,1503,169
2024-10-09,1509,167
2024-10-10,1495,170
2024-10-11,1574,194
2024-10-12,1610,165
2024-10-13,1595,159
2024-10-14,1589,143
2024-10-15,1546,113
2024-10-16,1525,119
2024-10-17,1544,107
2024-10-18,1538,115
2024-10-19,1502,118
2024-10-20,1471,124
2024-10-21,1467,116
2024-10-22,1463,106
2024-10-23,1474,101
2024-10-24,1529,102
2024-10-25,1488,112
2024-10-26,1489,113
2024-10-27,1521,114
2024-10-28,1489,131
2024-10-29,1552,142
2024-10-30,1538,148
2024-10-31,1542,157
2024-11-01,1519,159
2024-11-02,1484,157
2024-11-03,1520,154
2024-11-04,1474,150
2024-11-05,1526,150
2024-11-06,1497,143
2024-11-07,1473,140
2024-11-08,1547,180
2024-11-09,1547,187
2024-11-10,1571,164
2024-11-11,1482,151
2024-11-12,1473,140
2024-11-13,1460,144
2024-11-14,1482,130
2024-11-15,1480,151
2024-11-16,1469,127
2024-11-17,1516,122
2024-11-18,1442,120
2024-11-19,1453,118
2024-11-20,1430,113
2024-11-21,1417,102
2024-11-22,1471,184
2024-11-23,1489,116
2024-11-24,1493,132
2024-11-25,1530,114
2024-11-26,1624,103
2024-11-27,1589,116
2024-11-28,1521,93
2024-11-29,1552,118
2024-11-30,1548,151
2024-12-01,1573,167
2024-12-02,1568,152
2024-12-03,1578,148
2024-12-04,1561,154
2024-12-05,1615,153
2024-12-06,1613,158
2024-12-07,1581,151
2024-12-08,1613,166
2024-12-09,1622,229
2024-12-10,1638,155
2024-12-11,1608,137
2024-12-12,1647,105
2024-12-13,1651,188
2024-12-14,1628,196
2024-12-15,1589,179
2024-12-16,1675,166
2024-12-17,1650,154
2024-12-18,1626,164
2024-12-19,1588,153
2024-12-20,1600,153
2024-12-21,1543,143
2024-12-22,1562,165
2024-12-23,1536,145
2024-12-24,1493,124
2024-12-25,1416,103
2024-12-26,1492,124
2024-12-27,1519,121
2024-12-28,1464,106
2024-12-29,1473,122
2024-12-30,1470,102
2024-12-31,1412,85
2025-01-01,1409,91
2025-01-02,1477,90
2025-01-03,1498,103
2025-01-04,1510,96
2025-01-05,1478,119
2025-01-06,1496,112
2025-01-07,1474,99
2025-01-08,1458,88
2025-01-09,1472,88
2025-01-10,1492,98
2025-01-11,1434,185
2025-01-12,1463,108
2025-01-13,1479,96
2025-01-14,1429,92
2025-01-15,1437,100
2025-01-16,1436,77
2025-01-17,1603,130
2025-01-18,1660,236
2025-01-19,1670,182
2025-01-20,1624,161
2025-01-21,1678,163
2025-01-22,1674,161
2025-01-23,1656,153
2025-01-24,1629,242
2025-01-25,1601,164
2025-01-26,1607,178
2025-01-27,1584,165
2025-01-28,1589,142
2025-01-29,1610,150
2025-01-30,1574,96
2025-01-31,1562,110
2025-02-01,1570,125
2025-02-02,1565,209
2025-02-03,1563,108
2025-02-04,1692,100
2025-02-05,1652,117
2025-02-06,1619,106
2025-02-07,1613,105
2025-02-08,1696,123
2025-02-09,1691,142
2025-02-10,1636,107
2025-02-11,1658,117
2025-02-12,1626,121
2025-02-13,1647,120
2025-02-14,1708,164
2025-02-15,1726,161
2025-02-16,1736,189
2025-02-17,1701,170
2025-02-18,1725,158
2025-02-19,1731,169
2025-02-20,1716,155
2025-02-21,1722,250
2025-02-22,1662,151
2025-02-23,1684,167
2025-02-24,1687,160
2025-02-25,1692,130
2025-02-26,1648,144
2025-02-27,1642,104
2025-02-28,1579,102
2025-03-01,1536,100
2025-03-02,1519,111
2025-03-03,1556,106
2025-03-04,1559,96
2025-03-05,1545,109
2025-03-06,1593,98
2025-03-07,1630,108
2025-03-08,1569,115
2025-03-09,1617,126
2025-03-10,1728,181
2025-03-11,1609,106
2025-03-12,1567,119
2025-03-13,1597,107
2025-03-14,1523,107
2025-03-15,1484,101
2025-03-16,1512,128
2025-03-17,1501,103
2025-03-18,1530,91
2025-03-19,1503,107
2025-03-20,1482,107
2025-03-21,1477,95
2025-03-22,1448,100
2025-03-23,1510,180
2025-03-24,1503,119
2025-03-25,1513,167
2025-03-26,1615,158
2025-03-27,1685,187
2025-03-28,1649,176
2025-03-29,1623,160
2025-03-30,1624,175
2025-03-31,1573,173
2025-04-01,1576,149
2025-04-02,1570,135
2025-04-03,1564,135
2025-04-04,1541,132
2025-04-05,1531,137
2025-04-06,1522,143
2025-04-07,1506,135
2025-04-08,1502,126
2025-04-09,1484,123
2025-04-10,1494,102
2025-04-11,1487,126
2025-04-12,1503,137
2025-04-13,1487,143
2025-04-14,1479,152
2025-04-15,1452,141
2025-04-16,1454,148
2025-04-17,1446,136
2025-04-18,1489,153
2025-04-19,1509,172
2025-04-20,1488,179
2025-04-21,1561,156
2025-04-22,1539,154
2025-04-23,1479,145
2025-04-24,1436,117
2025-04-25,1468,117
2025-04-26,1405,107
2025-04-27,1409,113
2025-04-28,1405,105
2025-04-29,1394,84
2025-04-30,1406,96
2025-05-01,1479,157
2025-05-02,1482,154
2025-05-03,1428,135
2025-05-04,1519,168
2025-05-05,1470,150
2025-05-06,1469,149
2025-05-07,1459,130
2025-05-08,1418,131
2025-05-09,1444,124
2025-05-10,1428,121
2025-05-11,1442,140
2025-05-12,1423,141
2025-05-13,1424,112
2025-05-14,1421,115
2025-05-15,1391,103
2025-05-16,1367,96
2025-05-17,1319,100
2025-05-18,1338,114
2025-05-19,1360,100
2025-05-20,1311,94
2025-05-21,1315,93
2025-05-22,1312,84
2025-05-23,1391,138
2025-05-24,1484,150
2025-05-25,1465,174
2025-05-26,1475,160
2025-05-27,1473,150
2025-05-28,1457,159
2025-05-29,1468,159
2025-05-30,1446,153
2025-05-31,1409,150
2025-06-01,1493,155
2025-06-02,1471,149
2025-06-03,1452,144
2025-06-04,1412,101
2025-06-05,1318,88
2025-06-06,1340,88
2025-06-07,1302,88
2025-06-08,1338,101
2025-06-09,1330,96
2025-06-10,1337,90
2025-06-11,1313,87
2025-06-12,1302,96
2025-06-13,1356,140
2025-06-14,1532,163
2025-06-15,1564,178
2025-06-16,1521,157
2025-06-17,1517,141
2025-06-18,1521,147
2025-06-19,1453,144
2025-06-20,1452,116
2025-06-21,1387,107
2025-06-22,1391,128
2025-06-23,1392,104
2025-06-24,1395,119
2025-06-25,1432,110
2025-06-26,1378,112
2025-06-27,1394,90
2025-06-28,1309,100
2025-06-29,1315,117
2025-06-30,1327,107
2025-07-01,1328,84
2025-07-02,1315,120
2025-07-03,1330,129
2025-07-04,1362,127
2025-07-05,1320,119
2025-07-06,1325,146
2025-07-07,1350,127
2025-07-08,1324,124
2025-07-09,1349,118
2025-07-10,1333,120
2025-07-11,1371,134
2025-07-12,1372,149
2025-07-13,1383,162
2025-07-14,1350,130
2025-07-15,1315,96
2025-07-16,1334,106
2025-07-17,1312,99
2025-07-18,1323,105
2025-07-19,1295,107
2025-07-20,1280,118
2025-07-21,1317,100
2025-07-22,1329,104
2025-07-23,1355,89
2025-07-24,1328,87
2025-07-25,1328,83
2025-07-26,1318,92
2025-07-27,1337,108
2025-07-28,1373,95
2025-07-29,1305,91
2025-07-30,1366,134
2025-07-31,1421,128
2025-08-01,1428,121
2025-08-02,1361,125
2025-08-03,1374,124
2025-08-04,1401,125
2025-08-05,1347,101
