"Date","APP ID","Game Name","Device","Total Registered Members","Total Verified Members","Newly Registered Members","Newly Verified Members","Newly Unregistered Members","Download","DAU","ARPDAU","Charged UU","Gold Spent","ARPU","ARPPU","Complimentary Gold Spent"
"2022-06-24","50784","Eros Fantasy","ANDROID_APP","113995","44669","253","81","0","89","2928","48.09","47","140800","1.24","2995.74","0"
"2022-06-24","50784","Eros Fantasy","PC","97847","45677","233","98","0","0","2118","72.66","38","153896","1.58","4049.89","0"
"2022-06-24","50784","Eros Fantasy","TOTAL","219915","91124","497","177","0","89","4936","59.7","85","294696","1.34","3467.01","0"
"2022-06-25","50784","Eros Fantasy","ANDROID_APP","114263","44776","268","107","0","68","2933","16.59","22","48650","0.43","2211.36","0"
"2022-06-25","50784","Eros Fantasy","PC","98035","45758","188","81","0","0","2014","15.64","13","31499","0.32","2423","0"
"2022-06-25","50784","Eros Fantasy","TOTAL","220381","91312","466","188","0","68","4868","16.46","35","80149","0.36","2289.97","0"
"2022-06-26","50784","Eros Fantasy","ANDROID_APP","114500","44868","237","92","0","59","2923","6.17","11","18048","0.16","1640.73","0"
"2022-06-26","50784","Eros Fantasy","PC","98153","45814","118","56","0","0","1965","9.49","4","18650","0.19","4662.5","0"
"2022-06-26","50784","Eros Fantasy","TOTAL","220746","91464","365","152","0","59","4804","7.64","15","36698","0.17","2446.53","0"
"2022-06-27","50784","Eros Fantasy","ANDROID_APP","114698","44935","199","67","1","36","2961","6.26","12","18549","0.16","1545.75","0"
"2022-06-27","50784","Eros Fantasy","PC","98260","45868","107","54","0","0","1994","9.68","12","19298","0.2","1608.17","0"
"2022-06-27","50784","Eros Fantasy","TOTAL","221052","91582","307","118","1","36","4865","7.78","24","37847","0.17","1576.96","0"
"2022-06-28","50784","Eros Fantasy","ANDROID_APP","114884","44997","186","62","0","46","2932","11.6","16","33999","0.3","2124.94","0"
"2022-06-28","50784","Eros Fantasy","PC","98380","45926","120","58","0","0","2022","14.89","13","30099","0.31","2315.31","0"
"2022-06-28","50784","Eros Fantasy","TOTAL","221365","91699","313","117","0","46","4867","13.17","29","64098","0.29","2210.28","0"
"2022-06-29","50784","Eros Fantasy","ANDROID_APP","115080","45068","196","71","0","56","2957","20.97","20","61996","0.54","3099.8","0"
"2022-06-29","50784","Eros Fantasy","PC","98529","45988","150","62","1","0","1980","17.2","11","34049","0.35","3095.36","0"
"2022-06-29","50784","Eros Fantasy","TOTAL","221724","91836","360","137","1","56","4854","19.79","31","96045","0.43","3098.23","0"
"2022-06-30","50784","Eros Fantasy","ANDROID_APP","115291","45160","212","92","1","133","2941","23.46","33","68994","0.6","2090.73","0"
"2022-06-30","50784","Eros Fantasy","PC","98696","46057","168","69","1","0","2049","26.45","16","54199","0.55","3387.44","0"
"2022-06-30","50784","Eros Fantasy","TOTAL","222117","92003","395","167","2","133","4890","25.19","49","123193","0.56","2514.14","0"
"2022-07-01","50784","Eros Fantasy","ANDROID_APP","115719","45308","429","148","1","167","3196","54.7","40","174809","1.52","4370.23","0"
"2022-07-01","50784","Eros Fantasy","PC","98958","46178","264","121","2","0","2144","49.78","22","106735","1.08","4851.59","0"
"2022-07-01","50784","Eros Fantasy","TOTAL","222834","92277","720","274","3","167","5238","53.75","62","281544","1.27","4541.03","0"
"2022-07-02","50784","Eros Fantasy","ANDROID_APP","116064","45428","345","120","0","96","3047","18.67","20","56888","0.49","2844.4","0"
"2022-07-02","50784","Eros Fantasy","PC","99074","46232","116","54","0","0","1927","17.98","13","34638","0.35","2664.46","0"
"2022-07-02","50784","Eros Fantasy","TOTAL","223310","92453","476","176","0","96","4891","18.71","33","91526","0.41","2773.52","0"
"2022-07-03","50784","Eros Fantasy","ANDROID_APP","116385","45543","322","115","1","70","3079","18.9","16","58191","0.5","3636.94","0"
"2022-07-03","50784","Eros Fantasy","PC","99195","46283","121","51","0","0","1914","5.77","6","11049","0.11","1841.5","0"
"2022-07-03","50784","Eros Fantasy","TOTAL","223768","92622","459","169","1","70","4922","14.07","22","69240","0.31","3147.27","0"
"2022-07-04","50784","Eros Fantasy","ANDROID_APP","116645","45653","260","110","0","65","3025","14.44","11","43694","0.38","3972.18","0"
"2022-07-04","50784","Eros Fantasy","PC","99314","46337","119","54","0","0","1952","12.88","4","25147","0.25","6286.75","0"
"2022-07-04","50784","Eros Fantasy","TOTAL","224162","92790","394","168","0","65","4901","14.05","15","68841","0.31","4589.4","0"
"2022-07-05","50784","Eros Fantasy","ANDROID_APP","116904","45747","260","94","1","59","3074","18.08","13","55590","0.48","4276.15","0"
"2022-07-05","50784","Eros Fantasy","PC","99489","46404","175","67","0","0","2047","22.66","6","46393","0.47","7732.17","0"
"2022-07-05","50784","Eros Fantasy","TOTAL","224605","92951","444","161","1","59","5031","20.27","19","101983","0.45","5367.53","0"
"2022-07-06","50784","Eros Fantasy","ANDROID_APP","117117","45827","213","80","0","58","2979","8.27","13","24646","0.21","1895.85","0"
"2022-07-06","50784","Eros Fantasy","PC","99621","46456","132","52","0","0","1960","5.25","6","10297","0.1","1716.17","0"
"2022-07-06","50784","Eros Fantasy","TOTAL","224965","93085","360","134","0","58","4851","7.2","19","34943","0.16","1839.11","0"
"2022-07-07","50784","Eros Fantasy","ANDROID_APP","117329","45912","212","85","0","57","2967","5.16","9","15297","0.13","1699.67","0"
"2022-07-07","50784","Eros Fantasy","PC","99715","46497","94","41","0","0","1943","6.66","5","12948","0.13","2589.6","0"
"2022-07-07","50784","Eros Fantasy","TOTAL","225279","93211","314","126","0","57","4828","5.85","14","28245","0.13","2017.5","0"
"2022-07-08","50784","Eros Fantasy","ANDROID_APP","117601","46021","272","109","0","95","2984","36.96","24","110287","0.94","4595.29","0"
"2022-07-08","50784","Eros Fantasy","PC","100100","46667","385","170","0","0","2191","76.97","21","168632","1.69","8030.1","0"
"2022-07-08","50784","Eros Fantasy","TOTAL","225959","93494","680","283","0","95","5101","54.68","45","278919","1.24","6198.2","0"
"2022-07-09","50784","Eros Fantasy","ANDROID_APP","117863","46139","263","118","1","62","2883","18.81","27","54222","0.46","2008.22","0"
"2022-07-09","50784","Eros Fantasy","PC","100435","46814","335","147","0","0","2162","34.19","17","73920","0.74","4348.24","0"
"2022-07-09","50784","Eros Fantasy","TOTAL","226569","93755","611","261","1","62","4974","25.76","44","128142","0.57","2912.32","0"
"2022-07-10","50784","Eros Fantasy","ANDROID_APP","118210","46278","348","139","1","99","3072","28.75","20","88327","0.75","4416.35","0"
"2022-07-10","50784","Eros Fantasy","PC","100693","46920","259","106","1","0","2088","32.22","14","67283","0.67","4805.93","0"
"2022-07-10","50784","Eros Fantasy","TOTAL","227195","94006","628","251","2","99","5099","30.52","34","155610","0.69","4576.76","0"
"2022-07-11","50784","Eros Fantasy","ANDROID_APP","118437","46380","227","102","0","53","2948","15","17","44233","0.37","2601.94","0"
"2022-07-11","50784","Eros Fantasy","PC","100919","46999","226","79","0","0","2060","33.46","13","68935","0.68","5302.69","0"
"2022-07-11","50784","Eros Fantasy","TOTAL","227655","94188","460","182","0","53","4944","22.89","30","113168","0.5","3772.27","0"
"2022-07-12","50784","Eros Fantasy","ANDROID_APP","118662","46477","225","97","0","57","2990","19.34","11","57839","0.49","5258.09","0"
"2022-07-12","50784","Eros Fantasy","PC","101151","47098","232","99","0","0","2084","15.28","6","31834","0.32","5305.67","0"
"2022-07-12","50784","Eros Fantasy","TOTAL","228120","94385","465","197","0","57","4994","17.96","17","89673","0.39","5274.88","0"
"2022-07-13","50784","Eros Fantasy","ANDROID_APP","119009","46603","347","126","0","103","3127","35.72","14","111681","0.94","7977.21","0"
"2022-07-13","50784","Eros Fantasy","PC","101365","47169","214","71","0","0","2103","15.95","13","33534","0.33","2579.54","0"
"2022-07-13","50784","Eros Fantasy","TOTAL","228701","94584","581","199","0","103","5151","28.19","27","145215","0.64","5378.33","0"
"2022-07-14","50784","Eros Fantasy","ANDROID_APP","119320","46738","311","135","0","82","3124","34.93","22","109118","0.92","4959.91","0"
"2022-07-14","50784","Eros Fantasy","PC","101650","47293","285","124","0","0","2170","59.63","13","129396","1.28","9953.54","0"
"2022-07-14","50784","Eros Fantasy","TOTAL","229309","94844","608","260","0","82","5225","45.65","35","238514","1.04","6814.69","0"
"2022-07-15","50784","Eros Fantasy","ANDROID_APP","119555","46834","235","96","0","75","2985","3.76","10","11238","0.09","1123.8","0"
"2022-07-15","50784","Eros Fantasy","PC","101846","47361","196","68","0","0","2012","10.43","7","20993","0.21","2999","0"
"2022-07-15","50784","Eros Fantasy","TOTAL","229757","95009","448","165","0","75","4922","6.55","17","32231","0.14","1895.94","0"
"2022-07-16","50784","Eros Fantasy","ANDROID_APP","119692","46876","137","42","0","46","2759","6.63","10","18287","0.15","1828.7","0"
"2022-07-16","50784","Eros Fantasy","PC","101925","47403","79","42","0","0","1779","4.61","7","8195","0.08","1170.71","0"
"2022-07-16","50784","Eros Fantasy","TOTAL","229979","95093","222","84","0","46","4479","5.91","17","26482","0.12","1557.76","0"
"2022-07-17","50784","Eros Fantasy","ANDROID_APP","119863","46946","171","70","0","40","2773","2.07","4","5747","0.05","1436.75","0"
"2022-07-17","50784","Eros Fantasy","PC","101992","47434","67","31","0","0","1738","1.72","4","2997","0.03","749.25","0"
"2022-07-17","50784","Eros Fantasy","TOTAL","230225","95196","246","103","0","40","4450","1.96","8","8744","0.04","1093","0"
"2022-07-18","50784","Eros Fantasy","ANDROID_APP","120060","47023","197","77","0","50","2816","6.53","10","18385","0.15","1838.5","0"
"2022-07-18","50784","Eros Fantasy","PC","102077","47479","85","45","0","0","1776","2.64","5","4697","0.05","939.4","0"
"2022-07-18","50784","Eros Fantasy","TOTAL","230514","95318","289","122","0","50","4526","5.1","15","23082","0.1","1538.8","0"
"2022-07-19","50784","Eros Fantasy","ANDROID_APP","120228","47098","169","75","1","41","2777","4.07","8","11291","0.09","1411.38","0"
"2022-07-19","50784","Eros Fantasy","PC","102186","47534","109","55","0","0","1790","10.61","6","18984","0.19","3164","0"
"2022-07-19","50784","Eros Fantasy","TOTAL","230798","95448","285","130","1","41","4495","6.74","14","30275","0.13","2162.5","0"
"2022-07-20","50784","Eros Fantasy","ANDROID_APP","120407","47167","179","69","0","53","2804","4.35","8","12191","0.1","1523.88","0"
"2022-07-20","50784","Eros Fantasy","PC","102280","47575","94","41","0","0","1760","2.39","3","4200","0.04","1400","0"
"2022-07-20","50784","Eros Fantasy","TOTAL","231078","95557","280","109","0","53","4501","3.64","11","16391","0.07","1490.09","0"
"2022-07-21","50784","Eros Fantasy","ANDROID_APP","120591","47242","184","75","0","52","2770","2.96","5","8198","0.07","1639.6","0"
"2022-07-21","50784","Eros Fantasy","PC","102381","47619","101","44","0","0","1758","1.42","2","2495","0.02","1247.5","0"
"2022-07-21","50784","Eros Fantasy","TOTAL","231371","95680","293","123","0","52","4459","2.4","7","10693","0.05","1527.57","0"
"2022-07-22","50784","Eros Fantasy","ANDROID_APP","120901","47361","311","119","1","92","2965","22.47","31","66611","0.55","2148.74","0"
"2022-07-22","50784","Eros Fantasy","PC","102509","47676","128","57","0","0","1868","40.25","19","75181","0.73","3956.89","0"
"2022-07-22","50784","Eros Fantasy","TOTAL","231814","95852","444","172","1","92","4736","29.94","50","141792","0.61","2835.84","0"
"2022-07-23","50784","Eros Fantasy","ANDROID_APP","121214","47478","313","117","0","82","2927","11.48","11","33592","0.28","3053.82","0"
"2022-07-23","50784","Eros Fantasy","PC","102656","47737","147","61","0","0","1806","10.71","11","19340","0.19","1758.18","0"
"2022-07-23","50784","Eros Fantasy","TOTAL","232291","96039","477","187","0","82","4666","11.34","22","52932","0.23","2406","0"
"2022-07-24","50784","Eros Fantasy","ANDROID_APP","121488","47591","274","113","0","63","2998","8.15","13","24440","0.2","1880","0"
"2022-07-24","50784","Eros Fantasy","PC","102779","47785","123","48","0","0","1794","13.49","9","24194","0.24","2688.22","0"
"2022-07-24","50784","Eros Fantasy","TOTAL","232696","96201","405","162","0","63","4712","10.32","22","48634","0.21","2210.64","0"
"2022-07-25","50784","Eros Fantasy","ANDROID_APP","121744","47697","256","106","0","66","2981","23.49","19","70031","0.58","3685.84","0"
"2022-07-25","50784","Eros Fantasy","PC","102916","47845","137","60","0","0","1826","9.5","7","17343","0.17","2477.57","0"
"2022-07-25","50784","Eros Fantasy","TOTAL","233105","96368","409","167","0","66","4736","18.45","26","87374","0.38","3360.54","0"
"2022-07-26","50784","Eros Fantasy","ANDROID_APP","122004","47787","260","90","0","68","3041","17.82","22","54183","0.45","2462.86","0"
"2022-07-26","50784","Eros Fantasy","PC","103020","47896","104","51","0","0","1838","3.34","2","6146","0.06","3073","0"
"2022-07-26","50784","Eros Fantasy","TOTAL","233483","96509","378","141","0","68","4799","12.57","24","60329","0.26","2513.71","0"
"2022-07-27","50784","Eros Fantasy","ANDROID_APP","122231","47865","227","78","0","62","2979","5.72","7","17043","0.14","2434.71","0"
"2022-07-27","50784","Eros Fantasy","PC","103147","47957","127","61","0","0","1814","0.72","2","1299","0.01","649.5","0"
"2022-07-27","50784","Eros Fantasy","TOTAL","233848","96649","365","140","0","62","4721","3.89","9","18342","0.08","2038","0"
"2022-07-28","50784","Eros Fantasy","ANDROID_APP","122432","47939","201","74","0","55","2983","0","0","0","0","0","0"
"2022-07-28","50784","Eros Fantasy","PC","103210","47984","63","27","0","0","1737","0","0","0","0","0","0"
"2022-07-28","50784","Eros Fantasy","TOTAL","234120","96751","272","102","0","55","4640","0","0","0","0","0","0"
"2022-07-29","50784","Eros Fantasy","ANDROID_APP","122616","48015","185","76","1","67","2890","79.85","42","230769","1.88","5494.5","0"
"2022-07-29","50784","Eros Fantasy","PC","103274","48018","64","34","0","0","1768","60.68","17","107290","1.04","6311.18","300"
"2022-07-29","50784","Eros Fantasy","TOTAL","234375","96861","256","110","1","67","4576","73.88","59","338059","1.44","5729.81","300"
"2022-07-30","50784","Eros Fantasy","ANDROID_APP","123108","48191","492","176","0","158","3162","49.45","42","156365","1.28","3722.98","0"
"2022-07-30","50784","Eros Fantasy","PC","103518","48118","245","100","1","0","1914","21.73","14","41593","0.4","2970.93","0"
"2022-07-30","50784","Eros Fantasy","TOTAL","235155","97141","781","280","1","158","5009","39.52","56","197958","0.84","3534.96","0"
"2022-07-31","50784","Eros Fantasy","ANDROID_APP","123604","48364","496","173","0","114","3330","35.42","34","117955","0.96","3469.26","0"
"2022-07-31","50784","Eros Fantasy","PC","103692","48200","175","82","1","0","1854","31.09","19","57639","0.56","3033.63","0"
"2022-07-31","50784","Eros Fantasy","TOTAL","235849","97398","695","257","1","114","5104","34.4","53","175594","0.75","3313.09","0"
"2022-08-01","50784","Eros Fantasy","ANDROID_APP","123964","48496","361","132","1","109","3300","42.85","30","141395","1.14","4713.17","0"
"2022-08-01","50784","Eros Fantasy","PC","103904","48292","212","92","0","0","1969","54.43","15","107165","1.03","7144.33","0"
"2022-08-01","50784","Eros Fantasy","TOTAL","236439","97628","591","230","1","109","5202","47.78","45","248560","1.05","5523.56","0"
"2022-08-02","50784","Eros Fantasy","ANDROID_APP","124297","48630","333","134","0","98","3312","40.4","27","133804","1.08","4955.7","0"
"2022-08-02","50784","Eros Fantasy","PC","104126","48381","223","89","1","0","1960","27.47","9","53840","0.52","5982.22","0"
"2022-08-02","50784","Eros Fantasy","TOTAL","237014","97857","576","229","1","98","5195","36.12","36","187644","0.79","5212.33","0"
"2022-08-03","50784","Eros Fantasy","ANDROID_APP","124699","48786","403","156","1","131","3388","48.2","29","163300","1.31","5631.03","0"
"2022-08-03","50784","Eros Fantasy","PC","104321","48475","195","94","0","0","1939","11.52","11","22336","0.21","2030.55","0"
"2022-08-03","50784","Eros Fantasy","TOTAL","237644","98112","631","255","1","131","5256","35.32","40","185636","0.78","4640.9","0"
"2022-08-04","50784","Eros Fantasy","ANDROID_APP","125017","48913","318","127","0","77","3367","28.05","28","94432","0.76","3372.57","0"
"2022-08-04","50784","Eros Fantasy","PC","104514","48548","193","73","0","0","1928","15.69","16","30242","0.29","1890.13","0"
"2022-08-04","50784","Eros Fantasy","TOTAL","238172","98314","528","202","0","77","5215","23.91","44","124674","0.52","2833.5","0"
"2022-08-05","50784","Eros Fantasy","ANDROID_APP","125368","49034","351","121","0","79","3352","8","19","26825","0.21","1411.84","0"
"2022-08-05","50784","Eros Fantasy","PC","104694","48627","180","79","0","0","1878","6.39","15","11992","0.11","799.47","0"
"2022-08-05","50784","Eros Fantasy","TOTAL","238710","98510","538","196","0","79","5167","7.51","34","38817","0.16","1141.68","0"
"2022-08-06","50784","Eros Fantasy","ANDROID_APP","125595","49129","227","95","0","59","3110","15.91","17","49469","0.39","2909.94","0"
"2022-08-06","50784","Eros Fantasy","PC","104787","48676","93","49","0","0","1756","1.99","2","3497","0.03","1748.5","0"
"2022-08-06","50784","Eros Fantasy","TOTAL","239043","98656","333","146","0","59","4819","10.99","19","52966","0.22","2787.68","0"
"2022-08-07","50784","Eros Fantasy","ANDROID_APP","125850","49233","256","104","1","59","3139","11.17","14","35076","0.28","2505.43","0"
"2022-08-07","50784","Eros Fantasy","PC","104885","48719","98","43","0","0","1754","4.5","6","7895","0.08","1315.83","0"
"2022-08-07","50784","Eros Fantasy","TOTAL","239409","98804","367","148","1","59","4827","8.9","20","42971","0.18","2148.55","0"
"2022-08-08","50784","Eros Fantasy","ANDROID_APP","126086","49325","237","92","1","43","3140","14.77","18","46382","0.37","2576.78","0"
"2022-08-08","50784","Eros Fantasy","PC","104985","48761","100","42","0","0","1758","1.71","2","3000","0.03","1500","0"
"2022-08-08","50784","Eros Fantasy","TOTAL","239751","98937","343","133","1","43","4823","10.24","20","49382","0.21","2469.1","0"
"2022-08-09","50784","Eros Fantasy","ANDROID_APP","126303","49411","217","86","0","43","3081","15.46","21","47635","0.38","2268.33","0"
"2022-08-09","50784","Eros Fantasy","PC","105087","48800","102","39","0","0","1720","1.95","4","3346","0.03","836.5","0"
"2022-08-09","50784","Eros Fantasy","TOTAL","240077","99064","326","127","0","43","4725","10.79","25","50981","0.21","2039.24","0"
"2022-08-10","50784","Eros Fantasy","ANDROID_APP","126489","49478","186","67","0","38","2961","6.07","15","17984","0.14","1198.93","0"
"2022-08-10","50784","Eros Fantasy","PC","105164","48831","77","31","0","0","1709","1.58","3","2695","0.03","898.33","0"
"2022-08-10","50784","Eros Fantasy","TOTAL","240344","99162","267","98","0","38","4600","4.5","18","20679","0.09","1148.83","0"
"2022-08-11","50784","Eros Fantasy","ANDROID_APP","126679","49549","191","71","1","35","2900","11.21","18","32520","0.26","1806.67","0"
"2022-08-11","50784","Eros Fantasy","PC","105247","48869","84","38","1","0","1666","7.62","8","12689","0.12","1586.13","0"
"2022-08-11","50784","Eros Fantasy","TOTAL","240625","99273","283","111","2","35","4499","10.05","26","45209","0.19","1738.81","0"
