Date,Product(ID#),Game,Item(ID#),Description,Category,Country Code,Country,Region,Gross Units Sold,Chargeback/Returns,Net Units Sold, Average Price,Currency,Gross Steam Sales (USD),Chargeback/Returns (USD),VAT/Tax (USD),Net Steam Sales (USD)
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GR,Greece,Eastern Europe,1,0,1,39.99,USD,39.9900,0.0000,-7.7400,32.2500
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,1,0,1,39.99,USD,39.9900,0.0000,0.0000,39.9900
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,2,0,2,30.00,USD,59.9900,0.0000,-12.0000,47.9900
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PL,Poland,Eastern Europe,2,0,2,4.99,USD,9.9800,0.0000,-1.8600,8.1200
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,5,0,5,5.90,USD,29.4800,0.0000,-4.9100,24.5700
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,SG,Singapore,South East Asia,1,0,1,9.99,USD,9.9900,0.0000,-0.6500,9.3400
2022-06-04,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,48,0,48,12.26,USD,588.4400,0.0000,-26.2400,562.2000
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,13,0,13,11.30,USD,146.9300,0.0000,-13.3500,133.5800
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,22,0,22,9.51,USD,209.2100,0.0000,-23.4200,185.7900
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,8,0,8,10.99,USD,87.9500,0.0000,-14.0500,73.9000
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FI,Finland,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.9700,4.0300
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,4,0,4,13.50,USD,54.0000,0.0000,-9.0000,45.0000
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,3,0,3,6.66,USD,19.9700,0.0000,-3.3300,16.6400
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,IL,Israel,Middle East,1,0,1,6.99,USD,6.9900,0.0000,0.0000,6.9900
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,1,0,1,39.99,USD,39.9900,0.0000,-6.9400,33.0500
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,2,0,2,9.99,USD,19.9800,0.0000,-4.0000,15.9800
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,SE,Sweden,Western Europe,8,0,8,13.37,USD,106.9600,0.0000,-21.4000,85.5600
2022-06-05,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,73,0,73,14.19,USD,1035.5700,0.0000,-44.4300,991.1400
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AR,Argentina,Latin America,2,0,2,6.50,USD,12.9900,0.0000,0.0000,12.9900
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,4,0,4,11.25,USD,44.9800,0.0000,-4.0800,40.9000
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,7,0,7,14.11,USD,98.8000,0.0000,-11.8700,86.9300
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,5,0,5,10.69,USD,53.4700,0.0000,-8.5500,44.9200
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,2,0,2,13.50,USD,27.0000,0.0000,-5.4000,21.6000
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,3,0,3,14.50,USD,43.4900,0.0000,-7.2500,36.2400
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,4,0,4,9.37,USD,37.4700,0.0000,-6.2400,31.2300
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,2,0,2,7.50,USD,14.9900,0.0000,0.0000,14.9900
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PL,Poland,Eastern Europe,1,0,1,4.99,USD,4.9900,0.0000,-0.9300,4.0600
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RS,Serbia,Eastern Europe,4,0,4,6.99,USD,27.9700,0.0000,-4.6700,23.3000
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,3,0,3,17.99,USD,53.9700,0.0000,-8.9900,44.9800
2022-06-06,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,71,0,71,13.47,USD,956.4600,0.0000,-41.5100,914.9500
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AT,Austria,Western Europe,5,0,5,20.70,USD,103.4800,0.0000,-17.2500,86.2300
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,2,0,2,15.00,USD,29.9900,0.0000,-2.7300,27.2600
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,6,0,6,9.02,USD,54.0900,0.0000,-6.1200,47.9700
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,4,0,4,11.00,USD,43.9800,0.0000,-7.0200,36.9600
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,1,0,1,3.00,USD,3.0000,0.0000,-0.5000,2.5000
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,6,0,6,13.50,USD,81.0000,0.0000,0.0000,81.0000
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,1,0,1,50.00,USD,50.0000,0.0000,-10.0000,40.0000
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RS,Serbia,Eastern Europe,2,0,2,5.99,USD,11.9800,0.0000,-2.0000,9.9800
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,25,0,25,10.32,USD,257.9200,0.0000,-42.9900,214.9300
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,SG,Singapore,South East Asia,1,0,1,9.99,USD,9.9900,0.0000,-0.6500,9.3400
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,TW,Taiwan,Asia,1,0,1,19.99,USD,19.9900,0.0000,-0.9500,19.0400
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,75,0,75,11.00,USD,824.9300,0.0000,-34.4100,790.5200
2022-06-07,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,ZA,South Africa,Africa,1,0,1,9.99,USD,9.9900,0.0000,-1.3000,8.6900
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,1,0,1,25.00,USD,25.0000,0.0000,-2.2700,22.7300
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,22,0,22,14.91,USD,328.1000,0.0000,-38.7300,289.3700
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,13,0,13,6.76,USD,87.8700,0.0000,-14.0700,73.8000
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,1,0,1,19.99,USD,19.9900,0.0000,-3.3300,16.6600
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,3,0,3,14.49,USD,43.4800,0.0000,-7.2500,36.2300
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KR,Korea Republic of,Asia,1,0,1,4.99,USD,4.9900,0.0000,-0.4500,4.5400
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,2,0,2,62.50,USD,125.0000,0.0000,-21.7000,103.3000
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,2,0,2,4.99,USD,9.9800,0.0000,-2.0000,7.9800
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,33,0,33,12.44,USD,410.5400,0.0000,-15.7000,394.8400
2022-06-08,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,ZA,South Africa,Africa,1,0,1,4.99,USD,4.9900,0.0000,-0.6500,4.3400
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AT,Austria,Western Europe,1,0,1,9.99,USD,9.9900,0.0000,-1.6700,8.3200
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,4,0,4,12.78,USD,51.1200,0.0000,-6.1500,44.9700
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,1,0,1,6.99,USD,6.9900,0.0000,-1.1200,5.8700
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,1,0,1,4.99,USD,4.9900,0.0000,-0.8300,4.1600
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PT,Portugal,Western Europe,2,0,2,10.49,USD,20.9800,0.0000,-3.9300,17.0500
2022-06-09,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,27,0,27,12.81,USD,345.9100,0.0000,-20.0400,325.8700
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,22,0,22,15.01,USD,330.2600,0.0000,-21.4500,308.8100
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CH,Switzerland,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.3600,4.6400
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CZ,Czech Republic,Eastern Europe,1,0,1,9.99,USD,9.9900,0.0000,-1.7300,8.2600
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,3,0,3,26.66,USD,79.9700,0.0000,-12.7700,67.2000
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,1,0,1,29.99,USD,29.9900,0.0000,-6.0000,23.9900
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GR,Greece,Eastern Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.8000,24.1900
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KR,Korea Republic of,Asia,2,0,2,15.00,USD,30.0000,0.0000,-2.7200,27.2800
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,2,0,2,25.00,USD,49.9900,0.0000,-8.6700,41.3200
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,4,0,4,22.50,USD,90.0000,0.0000,-18.0000,72.0000
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PL,Poland,Eastern Europe,2,0,2,5.00,USD,10.0000,0.0000,-1.8600,8.1400
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PT,Portugal,Western Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.6100,24.3800
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,2,0,2,7.50,USD,14.9900,0.0000,-2.5000,12.4900
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,TH,Thailand,South East Asia,3,0,3,19.99,USD,59.9700,0.0000,-3.9200,56.0500
2022-06-10,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,95,0,95,16.86,USD,1601.5600,0.0000,-54.4200,1547.1400
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AT,Austria,Western Europe,5,0,5,20.99,USD,104.9600,0.0000,-17.4900,87.4700
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,1,0,1,3.00,USD,3.0000,0.0000,-0.2700,2.7300
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,4,0,4,10.94,USD,43.7600,0.0000,-3.8000,39.9600
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,10,0,10,18.49,USD,184.9200,0.0000,-29.5400,155.3800
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,4,0,4,8.74,USD,34.9600,0.0000,-5.8400,29.1200
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GR,Greece,Eastern Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.8000,24.1900
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,IL,Israel,Middle East,1,0,1,5.00,USD,5.0000,0.0000,0.0000,5.0000
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,8,0,8,20.49,USD,163.9200,0.0000,0.0000,163.9200
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,1,0,1,29.99,USD,29.9900,0.0000,-5.0000,24.9900
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,TW,Taiwan,Asia,2,0,2,19.99,USD,39.9800,0.0000,-1.9000,38.0800
2022-06-11,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,78,0,78,16.93,USD,1320.8000,0.0000,-56.9100,1263.8900
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CZ,Czech Republic,Eastern Europe,1,0,1,13.99,USD,13.9900,0.0000,-2.4300,11.5600
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,4,0,4,22.49,USD,89.9600,0.0000,-14.3700,75.5900
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,1,0,1,10.00,USD,10.0000,0.0000,-2.0000,8.0000
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,5,0,5,14.39,USD,71.9600,0.0000,-12.0000,59.9600
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KW,Kuwait,Middle East,2,0,2,8.49,USD,16.9800,0.0000,0.0000,16.9800
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.2000,24.7900
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PT,Portugal,Western Europe,3,0,3,16.66,USD,49.9700,0.0000,-9.3500,40.6200
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,SG,Singapore,South East Asia,1,0,1,3.00,USD,3.0000,0.0000,-0.2000,2.8000
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,TH,Thailand,South East Asia,1,0,1,5.00,USD,5.0000,0.0000,-0.3300,4.6700
2022-06-12,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,59,0,59,16.90,USD,997.2500,0.0000,-54.2100,943.0400
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,6,0,6,22.79,USD,136.7200,0.0000,-16.7800,119.9400
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,4,0,4,18.49,USD,73.9600,0.0000,-11.8100,62.1500
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FI,Finland,Western Europe,7,0,7,14.85,USD,103.9300,0.0000,-20.1000,83.8300
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,5,0,5,11.99,USD,59.9600,0.0000,-10.0000,49.9600
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KR,Korea Republic of,Asia,3,0,3,19.99,USD,59.9800,0.0000,-5.4500,54.5300
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NL,Netherlands,Western Europe,6,0,6,16.66,USD,99.9400,0.0000,-17.3300,82.6100
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,TH,Thailand,South East Asia,1,0,1,10.00,USD,10.0000,0.0000,-0.6500,9.3500
2022-06-13,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,47,0,47,16.01,USD,752.6800,0.0000,-25.1000,727.5800
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AT,Austria,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,4,0,4,16.25,USD,64.9800,0.0000,-5.9100,59.0700
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,1,0,1,14.18,USD,14.1800,0.0000,-0.6800,13.5000
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,6,0,6,8.00,USD,47.9800,0.0000,-7.6700,40.3100
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DK,Denmark,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-1.0000,4.0000
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,FR,France,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.8300,4.1700
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.0000,24.9900
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GR,Greece,Eastern Europe,1,0,1,29.99,USD,29.9900,0.0000,-5.8000,24.1900
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RS,Serbia,Eastern Europe,4,0,4,8.49,USD,33.9700,0.0000,-5.6700,28.3000
2022-06-14,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,37,0,37,13.71,USD,507.2700,0.0000,-12.9800,494.2900
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AU,Australia,Oceania,1,0,1,20.00,USD,20.0000,0.0000,-1.8200,18.1800
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,3,0,3,22.86,USD,68.5700,0.0000,-8.5900,59.9800
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CZ,Czech Republic,Eastern Europe,2,0,2,21.75,USD,43.4900,0.0000,-7.5400,35.9500
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,12,0,12,13.12,USD,157.4200,0.0000,-25.1500,132.2700
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,GB,United Kingdom,Western Europe,7,0,7,5.43,USD,37.9900,0.0000,-6.3200,31.6700
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,KR,Korea Republic of,Asia,7,0,7,15.28,USD,106.9500,0.0000,-9.7300,97.2200
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,NO,Norway,Western Europe,1,0,1,5.00,USD,5.0000,0.0000,-1.0000,4.0000
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,PL,Poland,Eastern Europe,1,0,1,5.00,USD,5.0000,0.0000,-0.9300,4.0700
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,RU,Russian Federation,Central Asia,1,0,1,20.00,USD,20.0000,0.0000,-3.3300,16.6700
2022-06-15,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,US,United States,North America,28,0,28,13.52,USD,378.5500,0.0000,-12.1800,366.3700
2022-06-16,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,AT,Austria,Western Europe,9,0,9,9.88,USD,88.9200,0.0000,-14.8200,74.1000
2022-06-16,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,BE,Belgium,Western Europe,1,0,1,20.00,USD,20.0000,0.0000,-3.4700,16.5300
2022-06-16,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,CA,Canada,North America,3,0,3,7.49,USD,22.4800,0.0000,-2.5000,19.9800
2022-06-16,1898210,Eros Fantasy,1,skin_oleenDS_arcade,,DE,Germany,Western Europe,3,0,3,5.66,USD,16.9700,0.0000,-2.7200,14.2500
