
Fecha,Año,Trimestre,Mes,Mes_Nombre,DiaSemana,DiaSemana_Nombre,Plataforma,Juego,DAU,Descargas,Ingresos_USD,Ingresos_Brutos_USD,Unidades_Vendidas,Usuarios_Concurrentes_Pico,Oro_Gastado_USD,ARPDAU,ARPU,ARPPU
2022-06-27,2022,2022Q2,6,junio,0,lunes,Canal B,Proyecto Aurora,4865,36.0,378.47,,,,378.47,7.78,0.17,1576.96
2022-06-28,2022,2022Q2,6,junio,1,martes,Canal A,Proyecto Aurora,1487,136.0,829.11,898.57,57.0,96.0,,,,
2022-06-28,2022,2022Q2,6,junio,1,martes,Canal B,Proyecto Aurora,4867,46.0,640.98,,,,640.98,13.17,0.29,2210.28
2022-06-29,2022,2022Q2,6,junio,2,miércoles,Canal A,Proyecto Aurora,1577,142.0,644.48,692.64,54.0,116.0,,,,
2022-06-29,2022,2022Q2,6,junio,2,miércoles,Canal B,Proyecto Aurora,4854,56.0,960.45,,,,960.45,19.79,0.43,3098.23
2022-06-30,2022,2022Q2,6,junio,3,jueves,Canal A,Proyecto Aurora,1540,143.0,2208.13,2387.06,149.0,95.0,,,,
2022-06-30,2022,2022Q2,6,junio,3,jueves,Canal B,Proyecto Aurora,4890,133.0,1231.93,,,,1231.93,25.19,0.56,2514.14
2022-07-01,2022,2022Q3,7,julio,4,viernes,Canal A,Proyecto Aurora,1562,0.0,1890.68,2055.32,130.0,107.0,,,,
2022-07-01,2022,2022Q3,7,julio,4,viernes,Canal B,Proyecto Aurora,5238,167.0,2815.44,,,,2815.44,53.75,1.27,4541.03
2022-07-02,2022,2022Q3,7,julio,5,sábado,Canal A,Proyecto Aurora,1510,0.0,1914.02,2115.76,138.0,101.0,,,,
2022-07-02,2022,2022Q3,7,julio,5,sábado,Canal B,Proyecto Aurora,4891,96.0,915.26,,,,915.26,18.71,0.41,2773.52
2022-07-03,2022,2022Q3,7,julio,6,domingo,Canal A,Proyecto Aurora,1502,0.0,1122.55,1204.0,77.0,119.0,,,,
2022-07-03,2022,2022Q3,7,julio,6,domingo,Canal B,Proyecto Aurora,4922,70.0,692.4,,,,692.4,14.07,0.31,3147.27
2022-07-04,2022,2022Q3,7,julio,0,lunes,Canal A,Proyecto Aurora,1477,0.0,804.72,852.02,63.0,87.0,,,,
2022-07-04,2022,2022Q3,7,julio,0,lunes,Canal B,Proyecto Aurora,4901,65.0,688.41,,,,688.41,14.05,0.31,4589.4
2022-07-05,2022,2022Q3,7,julio,1,martes,Canal A,Proyecto Aurora,1517,0.0,1061.58,1153.11,82.0,91.0,,,,
2022-07-05,2022,2022Q3,7,julio,1,martes,Canal B,Proyecto Aurora,5031,59.0,1019.83,,,,1019.83,20.27,0.45,5367.53
2022-07-06,2022,2022Q3,7,julio,2,miércoles,Canal A,Proyecto Aurora,1517,178.0,478.43,497.93,34.0,93.0,,,,
2022-07-06,2022,2022Q3,7,julio,2,miércoles,Canal B,Proyecto Aurora,4851,58.0,349.43,,,,349.43,7.2,0.16,1839.11
2022-07-07,2022,2022Q3,7,julio,3,jueves,Canal A,Proyecto Aurora,1460,77.0,1403.28,1495.81,66.0,106.0,,,,
2022-07-07,2022,2022Q3,7,julio,3,jueves,Canal B,Proyecto Aurora,4828,57.0,282.45,,,,282.45,5.85,0.13,2017.5
2022-07-08,2022,2022Q3,7,julio,4,viernes,Canal A,Proyecto Aurora,1516,0.0,1773.14,1896.74,105.0,93.0,,,,
2022-07-08,2022,2022Q3,7,julio,4,viernes,Canal B,Proyecto Aurora,5101,95.0,2789.19,,,,2789.19,54.68,1.24,6198.2
2022-07-09,2022,2022Q3,7,julio,5,sábado,Canal A,Proyecto Aurora,1457,35.0,1420.06,1526.79,101.0,102.0,,,,
2022-07-09,2022,2022Q3,7,julio,5,sábado,Canal B,Proyecto Aurora,4974,62.0,1281.42,,,,1281.42,25.76,0.57,2912.32
2022-07-10,2022,2022Q3,7,julio,6,domingo,Canal A,Proyecto Aurora,1529,57.0,1676.19,1821.07,91.0,104.0,,,,
2022-07-10,2022,2022Q3,7,julio,6,domingo,Canal B,Proyecto Aurora,5099,99.0,1556.1,,,,1556.1,30.52,0.69,4576.76
2022-07-11,2022,2022Q3,7,julio,0,lunes,Canal A,Proyecto Aurora,1563,44.0,1213.75,1313.66,86.0,95.0,,,,
2022-07-11,2022,2022Q3,7,julio,0,lunes,Canal B,Proyecto Aurora,4944,53.0,1131.68,,,,1131.68,22.89,0.5,3772.27
2022-07-12,2022,2022Q3,7,julio,1,martes,Canal A,Proyecto Aurora,1565,0.0,880.3199999999999,975.81,66.0,94.0,,,,
2022-07-12,2022,2022Q3,7,julio,1,martes,Canal B,Proyecto Aurora,4994,57.0,896.73,,,,896.73,17.96,0.39,5274.88
2022-07-13,2022,2022Q3,7,julio,2,miércoles,Canal A,Proyecto Aurora,1563,108.0,1003.28,1090.35,58.0,90.0,,,,
2022-07-13,2022,2022Q3,7,julio,2,miércoles,Canal B,Proyecto Aurora,5151,103.0,1452.15,,,,1452.15,28.19,0.64,5378.33
2022-07-14,2022,2022Q3,7,julio,3,jueves,Canal A,Proyecto Aurora,1556,129.0,1582.37,1729.08,112.0,93.0,,,,
2022-07-14,2022,2022Q3,7,julio,3,jueves,Canal B,Proyecto Aurora,5225,82.0,2385.14,,,,2385.14,45.65,1.04,6814.69
2022-07-15,2022,2022Q3,7,julio,4,viernes,Canal A,Proyecto Aurora,1546,112.0,386.67,418.69,55.0,96.0,,,,
2022-07-15,2022,2022Q3,7,julio,4,viernes,Canal B,Proyecto Aurora,4922,75.0,322.31,,,,322.31,6.55,0.14,1895.94
2022-07-16,2022,2022Q3,7,julio,5,sábado,Canal A,Proyecto Aurora,1534,112.0,636.46,696.52,71.0,84.0,,,,
2022-07-16,2022,2022Q3,7,julio,5,sábado,Canal B,Proyecto Aurora,4479,46.0,264.82,,,,264.82,5.91,0.12,1557.76
2022-07-17,2022,2022Q3,7,julio,6,domingo,Canal A,Proyecto Aurora,1533,126.0,519.75,573.12,60.0,94.0,,,,
2022-07-17,2022,2022Q3,7,julio,6,domingo,Canal B,Proyecto Aurora,4450,40.0,87.44,,,,87.44,1.96,0.04,1093.0
2022-07-18,2022,2022Q3,7,julio,0,lunes,Canal A,Proyecto Aurora,1528,100.0,315.02,343.82000000000005,34.0,97.0,,,,
2022-07-18,2022,2022Q3,7,julio,0,lunes,Canal B,Proyecto Aurora,4526,50.0,230.82,,,,230.82,5.1,0.1,1538.8
2022-07-19,2022,2022Q3,7,julio,1,martes,Canal A,Proyecto Aurora,1524,98.0,402.07,421.19,35.0,85.0,,,,
2022-07-19,2022,2022Q3,7,julio,1,martes,Canal B,Proyecto Aurora,4495,41.0,302.75,,,,302.75,6.74,0.13,2162.5
2022-07-20,2022,2022Q3,7,julio,2,miércoles,Canal A,Proyecto Aurora,1509,129.0,389.05,417.64,47.0,77.0,,,,
2022-07-20,2022,2022Q3,7,julio,2,miércoles,Canal B,Proyecto Aurora,4501,53.0,163.91,,,,163.91,3.64,0.07,1490.09
2022-07-21,2022,2022Q3,7,julio,3,jueves,Canal A,Proyecto Aurora,1572,136.0,1101.78,1169.97,111.0,83.0,,,,
2022-07-21,2022,2022Q3,7,julio,3,jueves,Canal B,Proyecto Aurora,4459,52.0,106.93,,,,106.93,2.4,0.05,1527.57
2022-07-22,2022,2022Q3,7,julio,4,viernes,Canal A,Proyecto Aurora,1575,168.0,2452.38,2652.01,219.0,91.0,,,,
2022-07-22,2022,2022Q3,7,julio,4,viernes,Canal B,Proyecto Aurora,4736,92.0,1417.92,,,,1417.92,29.94,0.61,2835.84
2022-07-23,2022,2022Q3,7,julio,5,sábado,Canal A,Proyecto Aurora,1583,165.0,840.15,891.13,74.0,102.0,,,,
2022-07-23,2022,2022Q3,7,julio,5,sábado,Canal B,Proyecto Aurora,4666,82.0,529.32,,,,529.32,11.34,0.23,2406.0
2022-07-24,2022,2022Q3,7,julio,6,domingo,Canal A,Proyecto Aurora,1595,146.0,719.04,789.11,63.0,111.0,,,,
2022-07-24,2022,2022Q3,7,julio,6,domingo,Canal B,Proyecto Aurora,4712,63.0,486.34,,,,486.34,10.32,0.21,2210.64
2022-07-25,2022,2022Q3,7,julio,0,lunes,Canal A,Proyecto Aurora,1605,103.0,663.5,727.28,60.0,116.0,,,,
2022-07-25,2022,2022Q3,7,julio,0,lunes,Canal B,Proyecto Aurora,4736,66.0,873.74,,,,873.74,18.45,0.38,3360.54
2022-07-26,2022,2022Q3,7,julio,1,martes,Canal A,Proyecto Aurora,1550,80.0,855.8399999999999,906.05,67.0,95.0,,,,
2022-07-26,2022,2022Q3,7,julio,1,martes,Canal B,Proyecto Aurora,4799,68.0,603.29,,,,603.29,12.57,0.26,2513.71
2022-07-27,2022,2022Q3,7,julio,2,miércoles,Canal A,Proyecto Aurora,1562,84.0,645.24,689.38,56.0,90.0,,,,
2022-07-27,2022,2022Q3,7,julio,2,miércoles,Canal B,Proyecto Aurora,4721,62.0,183.42,,,,183.42,3.89,0.08,2038.0
2022-07-28,2022,2022Q3,7,julio,3,jueves,Canal A,Proyecto Aurora,1556,101.0,1933.34,2053.25,101.0,97.0,,,,
2022-07-28,2022,2022Q3,7,julio,3,jueves,Canal B,Proyecto Aurora,4640,55.0,0.0,,,,0.0,0.0,0.0,0.0
2022-07-29,2022,2022Q3,7,julio,4,viernes,Canal A,Proyecto Aurora,1614,129.0,2944.59,3194.84,128.0,100.0,,,,
2022-07-29,2022,2022Q3,7,julio,4,viernes,Canal B,Proyecto Aurora,4576,67.0,3380.59,,,,3380.59,73.88,1.44,5729.81
2022-07-30,2022,2022Q3,7,julio,5,sábado,Canal A,Proyecto Aurora,1597,128.0,2473.01,2675.3,129.0,94.0,,,,
2022-07-30,2022,2022Q3,7,julio,5,sábado,Canal B,Proyecto Aurora,5009,158.0,1979.58,,,,1979.58,39.52,0.84,3534.96
2022-07-31,2022,2022Q3,7,julio,6,domingo,Canal A,Proyecto Aurora,1674,154.0,2550.3500000000004,2805.02,153.0,104.0,,,,
2022-07-31,2022,2022Q3,7,julio,6,domingo,Canal B,Proyecto Aurora,5104,114.0,1755.94,,,,1755.94,34.4,0.75,3313.09
2022-08-01,2022,2022Q3,8,agosto,0,lunes,Canal A,Proyecto Aurora,1703,115.0,1961.98,2121.28,133.0,96.0,,,,
2022-08-01,2022,2022Q3,8,agosto,0,lunes,Canal B,Proyecto Aurora,5202,109.0,2485.6,,,,2485.6,47.78,1.05,5523.56
2022-08-02,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1666,91.0,1262.15,1418.09,99.0,99.0,,,,
2022-08-02,2022,2022Q3,8,agosto,1,martes,Canal B,Proyecto Aurora,5195,98.0,1876.44,,,,1876.44,36.12,0.79,5212.33
2022-08-03,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1682,103.0,1266.3,1397.4899999999998,115.0,91.0,,,,
2022-08-03,2022,2022Q3,8,agosto,2,miércoles,Canal B,Proyecto Aurora,5256,131.0,1856.36,,,,1856.36,35.32,0.78,4640.9
2022-08-04,2022,2022Q3,8,agosto,3,jueves,Canal A,Proyecto Aurora,1682,101.0,978.7,1062.3,89.0,110.0,,,,
2022-08-04,2022,2022Q3,8,agosto,3,jueves,Canal B,Proyecto Aurora,5215,77.0,1246.74,,,,1246.74,23.91,0.52,2833.5
2022-08-05,2022,2022Q3,8,agosto,4,viernes,Canal A,Proyecto Aurora,1649,96.0,757.45,803.6800000000001,99.0,96.0,,,,
2022-08-05,2022,2022Q3,8,agosto,4,viernes,Canal B,Proyecto Aurora,5167,79.0,388.17,,,,388.17,7.51,0.16,1141.68
2022-08-06,2022,2022Q3,8,agosto,5,sábado,Canal A,Proyecto Aurora,1597,159.0,511.59,553.49,58.0,89.0,,,,
2022-08-06,2022,2022Q3,8,agosto,5,sábado,Canal A,Proyecto Aurora,1597,87.0,511.59,553.49,58.0,89.0,,,,
2022-08-06,2022,2022Q3,8,agosto,5,sábado,Canal B,Proyecto Aurora,4819,59.0,529.66,,,,529.66,10.99,0.22,2787.68
2022-08-07,2022,2022Q3,8,agosto,6,domingo,Canal A,Proyecto Aurora,1623,155.0,452.9500000000001,486.49,48.0,93.0,,,,
2022-08-07,2022,2022Q3,8,agosto,6,domingo,Canal A,Proyecto Aurora,1623,95.0,452.9500000000001,486.49,48.0,93.0,,,,
2022-08-07,2022,2022Q3,8,agosto,6,domingo,Canal B,Proyecto Aurora,4827,59.0,429.71,,,,429.71,8.9,0.18,2148.55
2022-08-08,2022,2022Q3,8,agosto,0,lunes,Canal A,Proyecto Aurora,1637,87.0,375.26,402.67,43.0,93.0,,,,
2022-08-08,2022,2022Q3,8,agosto,0,lunes,Canal B,Proyecto Aurora,4823,43.0,493.82,,,,493.82,10.24,0.21,2469.1
2022-08-09,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1583,68.0,337.41,356.28000000000003,40.0,73.0,,,,
2022-08-09,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1583,52.0,337.41,356.28000000000003,40.0,73.0,,,,
2022-08-09,2022,2022Q3,8,agosto,1,martes,Canal B,Proyecto Aurora,4725,43.0,509.81,,,,509.81,10.79,0.21,2039.24
2022-08-10,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1566,73.0,833.46,897.99,84.0,81.0,,,,
2022-08-10,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1566,66.0,833.46,897.99,84.0,81.0,,,,
2022-08-10,2022,2022Q3,8,agosto,2,miércoles,Canal B,Proyecto Aurora,4600,38.0,206.79,,,,206.79,4.5,0.09,1148.83
2022-08-11,2022,2022Q3,8,agosto,3,jueves,Canal A,Proyecto Aurora,1554,82.0,1180.99,1250.91,88.0,94.0,,,,
2022-08-11,2022,2022Q3,8,agosto,3,jueves,Canal A,Proyecto Aurora,1554,50.0,1180.99,1250.91,88.0,94.0,,,,
2022-08-11,2022,2022Q3,8,agosto,3,jueves,Canal B,Proyecto Aurora,4499,35.0,452.09,,,,452.09,10.05,0.19,1738.81
2022-08-12,2022,2022Q3,8,agosto,4,viernes,Canal A,Proyecto Aurora,1547,74.0,550.75,596.46,40.0,100.0,,,,
2022-08-12,2022,2022Q3,8,agosto,4,viernes,Canal B,Proyecto Aurora,4496,49.0,1121.2,,,,1121.2,24.94,0.47,4004.29
2022-08-13,2022,2022Q3,8,agosto,5,sábado,Canal A,Proyecto Aurora,1477,80.0,841.1099999999999,902.56,61.0,76.0,,,,
2022-08-13,2022,2022Q3,8,agosto,5,sábado,Canal B,Proyecto Aurora,4476,63.0,444.92,,,,444.92,9.94,0.18,2617.18
2022-08-14,2022,2022Q3,8,agosto,6,domingo,Canal A,Proyecto Aurora,1518,81.0,854.5699999999999,904.82,61.0,95.0,,,,
2022-08-14,2022,2022Q3,8,agosto,6,domingo,Canal B,Proyecto Aurora,4359,52.0,427.93,,,,427.93,9.82,0.18,3890.27
2022-08-15,2022,2022Q3,8,agosto,0,lunes,Canal A,Proyecto Aurora,1554,80.0,467.66,502.42,42.0,91.0,,,,
2022-08-15,2022,2022Q3,8,agosto,0,lunes,Canal B,Proyecto Aurora,4541,58.0,262.91,,,,262.91,5.79,0.11,1643.19
2022-08-16,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1520,66.0,602.9300000000001,647.31,46.0,89.0,,,,
2022-08-16,2022,2022Q3,8,agosto,1,martes,Canal B,Proyecto Aurora,4440,60.0,489.4,,,,489.4,11.02,0.2,3764.62
2022-08-17,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1514,72.0,383.92,419.98,36.0,81.0,,,,
2022-08-17,2022,2022Q3,8,agosto,2,miércoles,Canal B,Proyecto Aurora,4431,110.0,137.46,,,,137.46,3.1,0.06,1249.64
2022-08-18,2022,2022Q3,8,agosto,3,jueves,Canal A,Proyecto Aurora,1476,68.0,846.26,908.5,71.0,76.0,,,,
2022-08-18,2022,2022Q3,8,agosto,3,jueves,Canal B,Proyecto Aurora,4329,46.0,472.44,,,,472.44,10.91,0.19,2952.75
2022-08-19,2022,2022Q3,8,agosto,4,viernes,Canal A,Proyecto Aurora,1481,60.0,990.53,1058.08,95.0,79.0,,,,
2022-08-19,2022,2022Q3,8,agosto,4,viernes,Canal B,Proyecto Aurora,4284,58.0,377.32,,,,377.32,8.81,0.16,3430.18
2022-08-20,2022,2022Q3,8,agosto,5,sábado,Canal A,Proyecto Aurora,1464,48.0,630.5,677.75,60.0,78.0,,,,
2022-08-20,2022,2022Q3,8,agosto,5,sábado,Canal B,Proyecto Aurora,4098,37.0,200.35,,,,200.35,4.89,0.08,1669.58
2022-08-21,2022,2022Q3,8,agosto,6,domingo,Canal A,Proyecto Aurora,1435,68.0,320.28,340.6,30.0,95.0,,,,
2022-08-21,2022,2022Q3,8,agosto,6,domingo,Canal B,Proyecto Aurora,4112,48.0,233.93,,,,233.93,5.69,0.1,1376.06
2022-08-22,2022,2022Q3,8,agosto,0,lunes,Canal A,Proyecto Aurora,1421,41.0,799.7,879.6099999999999,54.0,75.0,,,,
2022-08-22,2022,2022Q3,8,agosto,0,lunes,Canal B,Proyecto Aurora,4161,41.0,160.91,,,,160.91,3.87,0.07,1462.82
2022-08-23,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1403,43.0,253.87,275.07,25.0,88.0,,,,
2022-08-23,2022,2022Q3,8,agosto,1,martes,Canal B,Proyecto Aurora,4127,42.0,463.39,,,,463.39,11.23,0.19,1930.79
2022-08-24,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1418,50.0,359.86,398.86,33.0,74.0,,,,
2022-08-24,2022,2022Q3,8,agosto,2,miércoles,Canal B,Proyecto Aurora,4262,71.0,241.96,,,,241.96,5.68,0.1,2016.33
2022-08-25,2022,2022Q3,8,agosto,3,jueves,Canal A,Proyecto Aurora,1414,54.0,1598.49,1669.6799999999998,70.0,76.0,,,,
2022-08-25,2022,2022Q3,8,agosto,3,jueves,Canal B,Proyecto Aurora,4223,46.0,326.43,,,,326.43,7.73,0.13,2967.55
2022-08-26,2022,2022Q3,8,agosto,4,viernes,Canal A,Proyecto Aurora,1415,70.0,1957.92,2094.12,94.0,105.0,,,,
2022-08-26,2022,2022Q3,8,agosto,4,viernes,Canal B,Proyecto Aurora,4437,60.0,2129.24,,,,2129.24,47.99,0.87,6452.24
2022-08-27,2022,2022Q3,8,agosto,5,sábado,Canal A,Proyecto Aurora,1369,50.0,1415.04,1493.81,98.0,93.0,,,,
2022-08-27,2022,2022Q3,8,agosto,5,sábado,Canal B,Proyecto Aurora,4379,92.0,1004.06,,,,1004.06,22.93,0.41,2713.68
2022-08-28,2022,2022Q3,8,agosto,6,domingo,Canal A,Proyecto Aurora,1403,83.0,1016.61,1103.4299999999998,109.0,93.0,,,,
2022-08-28,2022,2022Q3,8,agosto,6,domingo,Canal B,Proyecto Aurora,4559,98.0,1295.59,,,,1295.59,28.42,0.53,4983.04
2022-08-29,2022,2022Q3,8,agosto,0,lunes,Canal A,Proyecto Aurora,1441,63.0,1075.22,1161.7,64.0,85.0,,,,
2022-08-29,2022,2022Q3,8,agosto,0,lunes,Canal B,Proyecto Aurora,4588,89.0,720.2,,,,720.2,15.7,0.29,3000.83
2022-08-30,2022,2022Q3,8,agosto,1,martes,Canal A,Proyecto Aurora,1425,58.0,1116.12,1181.35,97.0,76.0,,,,
2022-08-30,2022,2022Q3,8,agosto,1,martes,Canal B,Proyecto Aurora,4525,63.0,1096.58,,,,1096.58,24.23,0.44,3426.81
2022-08-31,2022,2022Q3,8,agosto,2,miércoles,Canal A,Proyecto Aurora,1470,63.0,1333.34,1427.17,75.0,84.0,,,,
